"Family"	"Species_abbrv"	"SpeciesForPhylogeny"	"Brain_volume_mm3_decasien"	"Hippocampus_volume_mm3_decasien"	"Neocortex_volume_mm3_decasien"	"Cerebellum_volume_mm3_decasien"	"Striatum_volume_mm3_decasien"	"MOB_volume_mm3_decasien"	"Optic.Tract_volume_mm3_decasien"	"Brain_volume_mm3_powell_mosaic"	"Neocortex_volume_mm3_powell_mosaic"	"Cerebellum_volume_mm3_powell_mosaic"	"Brain_volume_mm3_todorov"	"Hippocampus_volume_mm3_todorov"	"Neocortex_volume_mm3_todorov"	"Brain_volume_mm3_navarrete"	"Hippocampus_volume_mm3_navarrete"	"Neocortex_volume_mm3_navarrete"	"Cerebellum_volume_mm3_navarrete"	"Striatum_volume_mm3_navarrete"	"Brain_volume_mm3_grueter"	"Brain_volume_mm3_powell"	"Body_mass_g_pearce"	"Body_mass_g_powell"	"Body_mass_g_grueter"	"Body_mass_g_decasien"	"Dietbreadth_powell2"	"Diet_frug_powell"	"Diet_leaves_powell"	"Diet_youngleaves_powell"	"Diet_matureleaves_powell"	"Diet_frug_decasien"	"Diet_leaves_willems"	"geographicCode"	"Guild_init_decasien"	"DietaryGuild"	"FrugivoryPercent"	"FolivoryPercent"	"Brain"	"Neocortex"	"Cerebellum"	"Hippocampus"	"Striatum"	"MOB"	"Optic.Tract"	"Bodymass"
NA	"Allenopithecus_nigr"	"Allenopithecus_nigroviridis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53700	NA	3180	NA	NA	NA	60.5	2.5	NA	NA	NA	NA	"000100000000"	NA	"Fruit"	60.5	2.5	53700	NA	NA	NA	NA	NA	NA	3180
NA	"Allocebus_tric"	"Allocebus_trichotis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.09	NA	NA	NA	4	7	0	NA	NA	NA	NA	"100000000000"	NA	"Other"	7	0	NA	NA	NA	NA	NA	NA	NA	78.09
NA	"Alouatta_arct"	"Alouatta_arct"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Alouatta_belz"	"Alouatta_belzebul"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52840	50940	NA	5525	6395	NA	NA	57.3	23.12	11.865	6.955	NA	20.97	"000000010000"	NA	"Fruit"	57.3	23.12	52840	NA	NA	NA	NA	NA	NA	6395
NA	"Alouatta_cara"	"Alouatta_caraya"	53861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52630	49230	5576.96	4240	5383	5597	3	23.8	70.4	25	30	25	71.425	"000000010000"	"Leaf"	"Fruit"	25	70.4	53861	NA	NA	NA	NA	NA	NA	4240
NA	"Alouatta_coib"	"Alouatta_coib"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Alouatta_disc"	"Alouatta_disc"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.6	24.8	19.8	5	NA	NA	NA	NA	"Fruit"	55.6	24.8	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Alouatta_guar"	"Alouatta_guariba"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51700	48500	5188.33	4550	5175	NA	4	22.125	57.6	22.63333333	34.93333333	NA	62.1	"000000010000"	NA	"Fruit"	22.125	57.6	51700	NA	NA	NA	NA	NA	NA	4550
NA	"Alouatta_juar"	"Alouatta_juar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.9	37.7	36.15	1.5	NA	NA	NA	NA	"Fruit"	32.9	37.7	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Alouatta_macc"	"Alouatta_macc"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53660	NA	NA	NA	NA	NA	31.06666667	62.1	36.5	25.6	NA	NA	NA	NA	"Fruit"	31.06666667	62.1	53660	NA	NA	NA	NA	NA	NA	NA
