"subgroup"	"trait"	"N"	"BM.lnL"	"BM.sig2"	"BM.z0"	"BM.AICc"	"BM.conv"	"OU.lnL"	"OU.sig2"	"OU.alpha"	"OU.z0"	"OU.AICc"	"OU.conv"	"EB.lnL"	"EB.sig2"	"EB.alpha"	"EB.z0"	"EB.AICc"	"EB.conv"	"MCgeo.dietmap"	"MCgeo.lnL"	"MCgeo.sig2"	"MCgeo.S"	"MCgeo.z0"	"MCgeo.AICc"	"MCgeo.conv"	"DDlingeo.dietmap"	"DDlingeo.lnL"	"DDlingeo.sig2"	"DDlingeo.b"	"DDlingeo.z0"	"DDlingeo.AICc"	"DDlingeo.conv"	"DDexpgeo.dietmap"	"DDexpgeo.lnL"	"DDexpgeo.sig2"	"DDexpgeo.r"	"DDexpgeo.z0"	"DDexpgeo.AICc"	"DDexpgeo.conv"	"BM.delaic"	"OU.delaic"	"EB.delaic"	"MCgeo.delaic"	"DDlingeo.delaic"	"DDexpgeo.delaic"	"BM.wi"	"OU.wi"	"EB.wi"	"MCgeo.wi"	"DDlingeo.wi"	"DDexpgeo.wi"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348397"	"0.0101726671046208"	"-1e-06"	"-0.69306907954906"	"64.4763649141238"	"0"	NA	"-29.0158015039653"	"0.0101709985857929"	"-1.41705908388822e-09"	"-0.693069743761436"	"64.2134211897487"	"0"	NA	"-24.9408095494101"	"0.00214629072790749"	"0.000741413195868586"	"-0.720548778969534"	"56.0634372806383"	"0"	NA	"-25.2117044487779"	"0.00365253156684187"	"0.0738021860143738"	"-0.714209066314287"	"56.605227079374"	"0"	"9.26532708829352"	"0"	"11.4919078170933"	"11.2289640927182"	"3.07898018360783"	"3.6207699823435"	"0.0069758046799092"	"0.71702537572119"	"0.00229138702720957"	"0.00261334023108398"	"0.153795091185261"	"0.117299001155347"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348396"	"0.0101726657000427"	"-1e-06"	"-0.69306907954906"	"64.4763649141237"	"0"	NA	"-29.0161018240679"	"0.010125908291563"	"-8.86902024309668e-09"	"-0.693069738653587"	"64.2099814259136"	"0"	NA	"-25.90941132416"	"0.00272456378812323"	"0.000616101877198412"	"-0.720430976854713"	"57.9966004260979"	"0"	NA	"-25.5802659153836"	"0.00336417366878502"	"0.0761341332954199"	"-0.729168950619962"	"57.3383096085449"	"0"	"9.26532708829352"	"0"	"11.4919078170932"	"11.2255243288831"	"5.01214332906739"	"4.35385251151447"	"0.00803003299700131"	"0.825386846525548"	"0.00263767612220966"	"0.00301346330462321"	"0.0673417578020575"	"0.0935902232485603"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348399"	"0.0101726677783458"	"-1e-06"	"-0.69306907954906"	"64.4763649141243"	"0"	NA	"-29.0158013390307"	"0.0101723079256106"	"-8.03901241983196e-10"	"-0.693069744318645"	"64.2093804558392"	"0"	NA	"-26.2323479129695"	"0.00309609597319237"	"0.00061161231420789"	"-0.721700953245877"	"58.6424736037168"	"0"	NA	"-26.1537381414598"	"0.00403259171122145"	"0.0670199740408295"	"-0.726863685472994"	"58.4852540606973"	"0"	"9.26532708829352"	"0"	"11.4919078170938"	"11.2249233588087"	"5.65801650668634"	"5.50079696366686"	"0.00853741242351953"	"0.877539098577589"	"0.00280433827648978"	"0.00320483251541582"	"0.0518374705674692"	"0.0560768476395168"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348396"	"0.0101726658074747"	"-1e-06"	"-0.69306907954906"	"64.4763649141236"	"0"	NA	"-29.0158018761635"	"0.0101711163279277"	"-4.16097306518098e-09"	"-0.693069741436256"	"64.2120548801465"	"0"	NA	"-25.0361088761491"	"0.00285915851749739"	"0.000642909862764092"	"-0.706971645731477"	"56.2526688801178"	"0"	NA	"-24.9723574191063"	"0.0037788434225905"	"0.0709437041283335"	"-0.71907839510873"	"56.1251659660321"	"0"	"9.26532708829352"	"0"	"11.4919078170932"	"11.2275977831161"	"3.26821178308731"	"3.14070886900167"	"0.00685286872057237"	"0.704389098405828"	"0.0022510054690487"	"0.00256903928131465"	"0.137445161009734"	"0.146492827113503"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348397"	"0.0101726669597299"	"-1e-06"	"-0.69306907954906"	"64.4763649141238"	"0"	NA	"-29.0158026059158"	"0.0101722499967768"	"-8.82281252062283e-09"	"-0.693069741362084"	"64.2093829896093"	"0"	NA	"-25.6797422022238"	"0.00204249264623054"	"0.000684016192108547"	"-0.716325200169274"	"57.5372621822254"	"0"	NA	"-25.5507315051254"	"0.00327195138701587"	"0.0768134218147908"	"-0.722303119573531"	"57.2792407880287"	"0"	"9.26532708829352"	"0"	"11.4919078170933"	"11.2249258925788"	"4.5528050851949"	"4.29478369099819"	"0.0078710936011941"	"0.809049866746888"	"0.00258546828578402"	"0.00295470143595968"	"0.0830512604167151"	"0.0944876095134595"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348399"	"0.0101726676937779"	"-1e-06"	"-0.69306907954906"	"64.4763649141242"	"0"	NA	"-29.0158013426417"	"0.0101723079256106"	"-8.03901241983196e-10"	"-0.693069744124656"	"64.2067851670352"	"0"	NA	"-25.6710778502791"	"0.00268997268439285"	"0.00063554748904435"	"-0.72436142001557"	"57.51733818231"	"0"	NA	"-25.5659245622873"	"0.00358359594304646"	"0.0730876931053288"	"-0.731150292491661"	"57.3070316063264"	"0"	"9.26532708829352"	"0"	"11.4919078170937"	"11.2223280700048"	"4.53288108527955"	"4.32257450929596"	"0.00787478319169282"	"0.809429110452094"	"0.00258668022909211"	"0.00295992864688543"	"0.0839220720555325"	"0.0932274254247032"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348396"	"0.0101726667003382"	"-1e-06"	"-0.69306907954906"	"64.4763649141237"	"0"	NA	"-29.0158013287651"	"0.0101723079256106"	"-8.03901241983196e-10"	"-0.693069744275732"	"64.2134208393485"	"0"	NA	"-25.3079016860412"	"0.00176847001126486"	"0.000718984935627899"	"-0.737837610284966"	"56.7976215539006"	"0"	NA	"-25.274065732785"	"0.00330543160623773"	"0.0757250873556362"	"-0.730029775019166"	"56.7299496473881"	"0"	"9.26532708829352"	"0"	"11.4919078170932"	"11.228963742318"	"3.8131644568701"	"3.74549255035767"	"0.00737669629843814"	"0.758232014465974"	"0.00242307045244383"	"0.00276352642759538"	"0.112663691319346"	"0.116541001036203"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348399"	"0.0101726678137192"	"-1e-06"	"-0.69306907954906"	"64.4763649141243"	"0"	NA	"-29.0158018421158"	"0.0101711163279277"	"-4.16097306518098e-09"	"-0.69306974264946"	"64.2120548120511"	"0"	NA	"-25.1549141038117"	"0.0023837727481985"	"0.000671697936250975"	"-0.722985132173589"	"56.4902793354429"	"0"	NA	"-25.2689733824342"	"0.00367495232885259"	"0.071031474725939"	"-0.726683277549737"	"56.718397892688"	"0"	"9.26532708829352"	"0"	"11.4919078170938"	"11.2275977150206"	"3.50582223841247"	"3.73394079565748"	"0.00723637414522206"	"0.743808654115655"	"0.00237697794035831"	"0.00271280989383635"	"0.128878834717661"	"0.114986349187268"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348396"	"0.0101726666242656"	"-1e-06"	"-0.69306907954906"	"64.4763649141236"	"0"	NA	"-29.0161018556927"	"0.010125908291563"	"-8.86902024309668e-09"	"-0.693069739707214"	"64.2086742996206"	"0"	NA	"-25.5647059993209"	"0.00187171702294804"	"0.000690497021421082"	"-0.710801254809876"	"57.305882586877"	"0"	NA	"-25.3435194137632"	"0.00313635909743296"	"0.0797573995448308"	"-0.725362245249534"	"56.8635094157618"	"0"	"9.26532708829352"	"0"	"11.4919078170932"	"11.2242172025902"	"4.32142548984655"	"3.87905231873132"	"0.00762689389815427"	"0.783949194945192"	"0.00250525445279003"	"0.00286404687115073"	"0.0903446201721458"	"0.112709989660568"
"Fruit"	"ratioNeocortex.log"	"58"	"-29.0158011835711"	"0.0101719720138757"	"-0.693069744544302"	"62.249784185324"	"0"	"-23.270006326293"	"0.0160164808899919"	"0.0374495443387123"	"-0.7031104308547"	"52.9844570970305"	"0"	"-29.0159602348399"	"0.0101726677929701"	"-1e-06"	"-0.69306907954906"	"64.4763649141243"	"0"	NA	"-29.0158013367631"	"0.0101723079256106"	"-8.03901241983196e-10"	"-0.693069744174119"	"64.2134208553445"	"0"	NA	"-25.478075135912"	"0.00244736066623761"	"0.000671088822738536"	"-0.723437109553804"	"57.1379684536421"	"0"	NA	"-25.026032450111"	"0.00303645040312897"	"0.0848539064034931"	"-0.73366999934595"	"56.2338830820402"	"0"	"9.26532708829352"	"0"	"11.4919078170938"	"11.228963758314"	"4.15351135661161"	"3.24942598500975"	"0.00726641530173946"	"0.746896508854625"	"0.00238684575052288"	"0.0027222119153645"	"0.0936131584062093"	"0.147114859771538"
