"Species" "Number_species_cooccurrence" "Overlap_average"
"1" "Allenopithecus_nigroviridis" 19 0.361091257426834
"2" "Cercopithecus_albogularis" NA NA
"3" "Cercopithecus_ascanius" 16 0.305198432345982
"4" "Cercopithecus_campbelli" 13 0.551013900220045
"5" "Cercopithecus_campbelli_lowei" NA NA
"6" "Cercopithecus_cephus" 14 0.627116047007851
"7" "Cercopithecus_cephus_cephus" NA NA
"8" "Cercopithecus_cephus_ngottoensis" NA NA
"9" "Cercopithecus_diana" 10 0.724209629975819
"10" "Cercopithecus_erythrogaster" NA NA
"11" "Cercopithecus_erythrogaster_erythrogaster" NA NA
"12" "Cercopithecus_erythrotis" NA NA
"13" "Cercopithecus_hamlyni" 12 0.632238746480001
"14" "Cercopithecus_lhoesti" NA NA
"15" "Cercopithecus_mitis" 12 0.272090680748765
"16" "Cercopithecus_mona" 10 0.388042108377049
"17" "Cercopithecus_neglectus" 22 0.277695873033539
"18" "Cercopithecus_nictitans" 19 0.378060523356977
"19" "Cercopithecus_petaurista" 13 0.429057797013431
"20" "Cercopithecus_pogonias" 2 0.999910740062014
"21" "Cercopithecus_preussi" NA NA
"22" "Cercopithecus_solatus" NA NA
"23" "Cercopithecus_wolfi" NA NA
"24" "Chlorocebus_aethiops" 6 0.334928776565556
"25" "Chlorocebus_pygerythrus" 7 0.279046306993462
"26" "Chlorocebus_pygerythrus_cynosurus" NA NA
"27" "Chlorocebus_sabaeus" 10 0.351377996684155
"28" "Chlorocebus_tantalus" NA NA
"29" "Erythrocebus_patas" 4 0.488988250595578
"30" "Miopithecus_talapoin" 0 NA
"31" "Allocebus_trichotis" NA NA
"32" "Archaeolemur_majori" NA NA
"33" "Avahi_cleesei" NA NA
"34" "Avahi_laniger" NA NA
"35" "Avahi_occidentalis" NA NA
"36" "Avahi_unicolor" NA NA
"37" "Cheirogaleus_crossleyi" NA NA
"38" "Cheirogaleus_major" 5 0.27670568266549
"39" "Cheirogaleus_medius" 6 0.524711935071218
"40" "Daubentonia_madagascariensis" 0 NA
"41" "Eulemur_coronatus" 0 NA
"42" "Eulemur_fulvus_albifrons" 0 NA
"43" "Eulemur_fulvus_albocollaris" NA NA
"44" "Eulemur_fulvus_collaris" NA NA
"45" "Eulemur_fulvus_fulvus" NA NA
"46" "Eulemur_fulvus_mayottensis" NA NA
"47" "Eulemur_fulvus_rufus" NA NA
"48" "Eulemur_fulvus_sanfordi" NA NA
"49" "Eulemur_macaco_flavifrons" 3 0.57526917330524
