"Notes (re: gray cells; see next tab)"	Taxon	References	N	 BV 	Medulla	Cerebellum	Mesencephalon	Diencephalon	Telencephalon	MOB	AOB	Piriform Lobe	Septum	Striatum	Striatum (incl. NAcc)	Schizocortex	Hippocampus	Neocortex (GM+WM)	Neocortex (GM)	Epithalamus	Thalamus	Hypothalamus	Subthalamus	Pallidum	Subthalamic Nucleus	Optic Tract	V1 (GM)	LGN	Paleocortex	Amygdala	Vmo	VII	XII	Granular Insula	Dysgranular Insula	Agranular Insula	Insula (GM)
	Alouatta_caraya	43	1	 53 861.00 																														178.00	282.00	84.00	544.00
	Alouatta_palliata	54-55	1	 43 520.00 														28560.00	17150.00								1860.00	90.00									
	Alouatta_seniculus	34	1	 50 542.18 																							1918.00										
	Alouatta_seniculus	53	2	 49 009.21 	1593.25																										4.52	3.46	3.24				
	Alouatta_seniculus	61	1	 36 500.00 		4300.00																															
	Alouatta_seniculus	61	1	 38 300.00 		4000.00																															
B	Alouatta_seniculus	24,51-52	2	 49 009.00 		5699.00	986.00	3344.00	37388.00	41.40	0.60	827.00	200.00	2829.00	2829.00	510.00	1320.00	31660.00										85.70	488.00	413.00							
	Aotus_trivirgatus	34	2	 16 588.53 																							996.00										
	Aotus_trivirgatus	53	4	 16 207.89 	675.30																										1.72	2.48	1.74				
	Aotus_trivirgatus	61	1	 15 800.00 		1700.00																															
	Aotus_trivirgatus	61	1	 18 900.00 		1700.00																															
	Aotus_trivirgatus	61	1	 19 700.00 		1800.00																															
	Aotus_trivirgatus	61	1	 22 100.00 		1800.00																															
B	Aotus_trivirgatus	24,51-52	5	 16 195.00 		1873.00	409.00	1098.00	12128.00	56.00	0.22	394.00	83.30	862.00	862.00	243.00	539.00	9950.00										36.00	203.00	201.00							
	Aotus_trivirgatus	54-55	1	 11 420.00 														6970.00	5230.00								630.00										
	Ateles_geoffroyi	34	1	 103 939.98 																							3753.00										
	Ateles_geoffroyi	43	1	 102 700.00 																														200.00	362.00	270.00	832.00
	Ateles_geoffroyi	53	1	 101 033.52 	1833.67																										3.60	3.30	3.56				
B	Ateles_geoffroyi	24,51-52	1	 101 034.00 		12438.00	1482.00	5334.00	79946.00	90.40	2.19	1625.00	324.00	4950.00	4950.00	732.00	1366.00	70856.00		30.50	2930.00	629.00	860.00	807.00	52.80	204.00		151.00									
	Ateles_geoffroyi	54-55	1	 72 410.00 														48880.00	30930.00								3130.00	120.00									
	Ateles_paniscus	61	1	 71 800.00 		8700.00																															
	Ateles_paniscus	61	1	 93 000.00 		11700.00																															
	Ateles_paniscus	61	1	 107 300.00 		10700.00																															
	Avahi_laniger	34	1	 10 060.89 																							475.00										
	Avahi_laniger	43	1	 9 256.80 																														26.00	36.00	14.00	76.00
	Avahi_laniger	53	2	 9 798.00 	553.35																										1.76	2.14	1.48				
B	Avahi_laniger	24,51-52	2	 9 798.00 		1489.00	343.00	862.00	6550.00	89.20	3.01	284.00	69.70	524.00	524.00	241.00	526.00	4813.00										27.40									
	Avahi_occidentalis	34	2	 9 420.13 																							450.00										
	Avahi_occidentalis	53	2	 9 124.00 	508.46																										1.64	1.62	1.24				
B	Avahi_occidentalis	24,51-52	2	 9 124.00 		1383.00	345.00	861.00	6026.00	70.10	2.55	265.00	69.30	478.00	478.00	222.00	476.00	4443.00		6.52	489.00	137.00	80.50	74.50	5.94	38.30		27.20									
	Callicebus_moloch	34	1	 18 388.03 																							1201.00										
B	Callicebus_moloch	51	1	 14 434.00 		1287.00	469.00							721.00	721.00			8973.00																			
	Callicebus_moloch	53	2	 17 818.49 	786.82																										2.00	2.36	1.96				
	Callicebus_moloch	54-55	1	 11 900.00 														7060.00	5120.00								840.00	30.00									
	Callimico_goeldii	53	1	 10 510.30 	460.10																										1.10	0.96	1.08				
B	Callimico_goeldii	24,51-52	1	 10 510.00 		1240.00	340.00	739.00	7733.00	27.00	0.51	253.00	63.50	493.00	493.00	138.00	281.00	6476.00																			
	Callithrix_jacchus	34	2	 7 346.63 																							566.00										
	Callithrix_jacchus	53	4	 7 247.70 	318.24																										0.94	1.08	0.88				
B	Callithrix_jacchus	24,51-52	4	 7 241.00 		757.00	295.00	554.00	5318.00	22.80	0.33	191.00	49.80	372.00	372.00	90.00	221.00	4371.00										25.70	99.30	113.00							
	Callithrix_pygmaea	34	1	 4 354.12 																							363.00										
	Callithrix_pygmaea	43	1	 4 005.80 																														6.00	14.00	2.00	22.00
	Callithrix_pygmaea	53	2	 3 967.61 	185.00																										0.56	0.54	0.56				
B	Callithrix_pygmaea	24,51-52	2	 4 302.00 		468.00	192.00	342.00	3099.00	12.30	0.39	133.00	29.20	174.00	174.00	81.80	133.00	2535.00		3.68	190.00	69.20	27.70	25.80	1.95	23.80											
	Cebus_albifrons	34	2	 68 781.44 																							3764.00										
	Cebus_albifrons	43	1	 77 027.00 																														216.00	310.00	68.00	594.00
	Cebus_albifrons	53	2	 66 939.45 	1738.26																										4.32	4.94	3.96				
B	Cebus_albifrons	24,51-52	2	 66 939.00 		7871.00	1221.00	3996.00	52113.00	39.90	0.67	931.00	174.00	3258.00	3258.00	390.00	890.00	46429.00		23.70	2163.00	418.00	609.00	567.00	41.70	207.00		137.00	567.00	502.00							
	Cebus_apella	61	1	 55 200.00 		5100.00																															
	Cebus_apella	61	1	 60 100.00 		5400.00																															
	Cebus_apella	61	1	 73 200.00 		7700.00																															
	Cebus_apella	61	1	 77 300.00 		7600.00																															
	Cebus_apella	62-63	4	 66 500.00 		6500.00												45000.00	31900.00																		
	Cercocebus_agilis	43	1	 91 988.00 																														316.00	232.00	210.00	758.00
	Cercocebus_torquatus_atys	61	1	 96 200.00 		8100.00																															
	Cercocebus_torquatus_atys	61	1	 97 800.00 		7400.00																															
	Cercocebus_torquatus_atys	61	1	 97 900.00 		10600.00																															
	Cercocebus_torquatus_atys	61	1	 103 500.00 		8500.00																															
	Cercocebus_torquatus_atys	54-55	1	 117 080.00 														88280.00	47920.00								5120.00	200.00									
	Cercocebus_torquatus_atys	62-63	4	 98 900.00 		9200.00												63900.00	42700.00																		
	Cercopithecus_ascanius	34	1	 64 849.62 																							4272.00										
	Cercopithecus_ascanius	53	2	 60 420.66 	1802.09																										4.14	5.28	3.98				
B	Cercopithecus_ascanius	24,51-52	1	 63 505.00 		5828.00	1162.00	3605.00	51279.00	99.50		1052.00	251.00	2827.00	2827.00	694.00	1189.00	45166.00		17.90	1916.00	410.00	431.00	405.00	25.70	320.00		147.00	450.00	601.00							
	Cercopithecus_mitis	34	1	 72 738.55 																							4232.00										
	Cercopithecus_mitis	43	1	 69 112.00 																														268.00	782.00	178.00	1228.00
	Cercopithecus_mitis	53	1	 70 563.79 	1998.90																										4.28	6.14	4.14				
B	Cercopithecus_mitis	24,51-52	1	 70 564.00 		6758.00	1354.00	4176.00	56277.00	117.00		1265.00	246.00	2733.00	2733.00	617.00	1366.00	49933.00										150.00									
	Cercopithecus_nictitans	54-55	1	 64 740.00 														47800.00	35990.00								4140.00	120.00									
	Cheirogaleus_major	34	2	 6 577.50 																							433.00										
	Cheirogaleus_major	53	2	 6 373.00 	381.62																										1.04	1.56	1.84				
B	Cheirogaleus_major	24,51-52	2	 6 373.00 		947.00	241.00	489.00	4313.00	158.00	4.04	332.00	58.90	327.00	327.00	149.00	347.00	2938.00		4.83	271.00	101.00	33.80	31.60	2.27	18.00		21.50	233.00	99.40							
	Cheirogaleus_medius	34	2	 3 021.66 																							199.00										
	Cheirogaleus_medius	53	2	 2 961.00 	202.38																										0.60	1.04	1.14				
B	Cheirogaleus_medius	24,51-52	2	 2 961.00 		437.00	145.00	235.00	1941.00	102.00	2.66	198.00	32.50	145.00	145.00	65.30	174.00	1221.00										10.80	135.00	63.20							
	Cheirogaleus_medius	54-55	1	 2 630.00 														1020.00	890.00																		
	Colobus_angolensis	43	1	 71 815.00 																														76.00	304.00	64.00	444.00
	Daubentonia_madagascariensis	34	1	 43 597.17 																							1113.00										
	Daubentonia_madagascariensis	53	1	 42 611.00 	1517.10																										3.82	4.00	4.38				
B	Daubentonia_madagascariensis	24,51-52	1	 42 611.00 		6461.00	897.00	3539.00	30196.00	685.00	8.31	1538.00	254.00	2765.00	2765.00	1044.00	1776.00	22127.00										58.50	1065.00	473.00							
	Daubentonia_madagascariensis	54-55	1	 41 070.00 														24070.00	19790.00																		
	Erythrocebus_patas	53	2	 103 167.37 	2615.67																										4.66	9.18	4.80				
	Erythrocebus_patas	61	1	 89 000.00 		7900.00																															
B	Erythrocebus_patas	24,51-52	2	 103 167.00 		8738.00	1621.00	5423.00	84770.00	51.80		1339.00	330.00	3624.00	3624.00	693.00	1591.00	77141.00																			
	Eulemur_fulvus_fulvus	34	2	 22 512.62 																							1253.00										
	Eulemur_fulvus_fulvus	53	3	 22 106.00 	909.39																										2.08	2.78	3.04				
B	Eulemur_fulvus_fulvus	24,51-52	3	 22 106.00 		3328.00	590.00	1713.00	15566.00	207.00	3.21	641.00	119.00	1215.00	1215.00	422.00	752.00	12207.00		12.20	1028.00	239.00	225.00	212.00	13.90	108.00		51.60	389.00	251.00							
	Eulemur_mongoz	54-55	1	 22 240.00 														12030.00	8200.00								1060.00	50.00									
	Galago_senegalensis	53	1	 4 512.00 	254.30																										0.58	1.18	0.70				
B	Galago_senegalensis	24,51-52	1	 4 512.00 		672.00	205.00	382.00	2997.00	79.20	2.58	163.00	35.70	210.00	210.00	107.00	261.00	2139.00										16.00									
	Galago_senegalensis	54-55	1	 3 580.00 														1570.00	1340.00								220.00	10.00									
	Galagoides_demidoff	34	2	 3 268.06 																							214.00										
	Galagoides_demidoff	43	1	 3 185.30 																														10.00	10.00	4.00	24.00
	Galagoides_demidoff	53	2	 3 203.00 	169.13																										0.44	0.96	0.56				
B	Galagoides_demidoff	24,51-52	2	 3 203.00 		413.00	135.00	246.00	2240.00	83.10	1.26	181.00	25.70	169.00	169.00	59.90	152.00	1568.00		2.09	153.00	45.10	18.30	17.00	1.40	11.50		10.90	122.00	50.20							
F	Gorilla_beringei	64	1	 401 600.00 																	8200.00																
F	Gorilla_beringei	64	1	 460 600.00 																	8300.00																
F	Gorilla_beringei	64	1	 486 700.00 																	10200.00																
	Gorilla_beringei	65	1	 445 620.00 		50939.58								10759.58			2846.67	292357.50	196935.00											1053.75							4200.00
	Gorilla_beringei	65	1	 488 910.00 		58717.36								7836.60			2838.89	288076.25	171045.00											1150.63							3281.25
	Gorilla_beringei	65	1	 411 670.00 		50001.39								8908.47			2815.56	243460.00	159486.25											1728.13							2485.00
	Gorilla_beringei	65	1	 369 430.00 		43611.46								7550.76			3328.89	227071.25	123392.50											1137.50							2668.75
	Gorilla_beringei	65	1	 398 130.00 		43684.07								8480.97			2890.23	234115.18	128645.33											1792.41							2734.53
	Gorilla_beringei	65	1	 325 990.00 		37164.93								8353.82			2394.44	200118.75	148193.75											1062.50							2656.25
	Gorilla_beringei	65	1	 360 490.00 		49668.40								8765.56			2916.67	210988.75	142563.75											988.75							2572.50
	Gorilla_beringei	65	1	 405 960.00 		42046.18								8074.79			3274.44	246207.50	140656.25											1067.50							2738.75
	Gorilla_beringei	65	1	 358 870.00 		37124.31								7360.21			2877.78	268738.75	158182.50											1351.88							2231.25
	Gorilla_beringei	65	1	 434 580.00 		44145.63								8853.70			3975.23	284096.41	165943.12											1631.66							2899.27
	Gorilla_beringei	65	1	 359 840.00 		36448.07								8589.52			4126.08	235423.37	138294.99											957.15							2678.49
	Gorilla_beringei	65	1	 336 430.00 		35989.24								8193.89			2162.22	231122.50	151480.00											511.88							1855.00
	Gorilla_beringei	65	1	 363 500.00 		42106.94								9027.57			2504.44	272352.50	196875.00											1159.38							2415.00
	Gorilla_beringei	65	1	 410 320.00 		46243.75								10456.74			2621.11	282756.25	205082.50											1185.63							2590.00
E	Gorilla_gorilla_gorilla	34	1																																		
	Gorilla_gorilla_gorilla	43	1	 434 360.00 																														1284.00	1586.00	1108.00	5020.00
	Gorilla_gorilla_gorilla	43	1	 405 410.00 																														815.00	1871.00	755.00	3739.00
	Gorilla_gorilla_gorilla	43	1	 404 440.00 																														696.00	2340.00	992.00	4360.00
	Gorilla_gorilla_gorilla	43	1	 362 930.00 																														404.00	1890.00	1549.00	3994.00
	Gorilla_gorilla_gorilla	53	3	 415 919.53 	8393.91																										18.98	26.52	20.40				
	Gorilla_gorilla_gorilla	60	1	 362 900.00 														254300.00									8000.00										
	Gorilla_gorilla_gorilla	60	1	 434 400.00 														313100.00									10200.00										
	Gorilla_gorilla_gorilla	60	2	 398 600.00 																								309.00									
	Gorilla_gorilla_gorilla	61	1	 330 700.00 		56100.00																															
	Gorilla_gorilla_gorilla	61	1	 362 900.00 		48500.00																															
	Gorilla_gorilla_gorilla	61	1	 414 500.00 		51000.00																															
	Gorilla_gorilla_gorilla	61	1	 434 400.00 		60100.00																															
	Gorilla_gorilla_gorilla	61	1	 463 900.00 		81200.00																															
F	Gorilla_gorilla_gorilla	64	1	 490 200.00 																	9900.00																
F	Gorilla_gorilla_gorilla	64	1	 459 400.00 																	11400.00																
F	Gorilla_gorilla_gorilla	64	1	 564 300.00 																	11000.00																
	Gorilla_gorilla_gorilla	65	1	 461 500.00 		58780.56								8711.11			3093.33	241710.00	143740.00											1430.00							3220.00
	Gorilla_gorilla_gorilla	65	1	 338 990.00 		46110.07								7002.92			3196.67	182288.75	107800.00											1098.13							1907.50
	Gorilla_gorilla_gorilla	65	1	 346 350.00 		39165.11								10123.67			3266.80	225980.71	130843.01											1085.04							1991.19
	Gorilla_gorilla_gorilla	65	1	 445 680.00 		72268.52								11179.26			3567.41	313304.44	189233.33											1462.22							3640.00
	Gorilla_gorilla_gorilla	65	1	 380 700.00 		57477.78								6764.72			3632.22	233597.78	142006.67											1470.00							1680.00
	Gorilla_gorilla_gorilla	65	1	 433 370.00 		57630.90								9146.67			3647.78	236652.50	135047.50											949.38							2642.50
	Gorilla_gorilla_gorilla	65	1	 435 210.00 		41897.92								7550.76			4262.22	298627.78	173588.33											2065.00							1960.00
	Gorilla_gorilla_gorilla	65	1	 449 220.00 		69781.25											4262.22	290838.33	172235.00											1316.88							1388.33
	Gorilla_gorilla_gorilla	65	1	 540 440.00 		77063.19								6788.54			4277.78	338193.33	208623.33											717.50							1878.33
	Gorilla_gorilla_gorilla	65	1	 459 400.00 		69371.62								11335.13			4283.70	277038.51	172179.34											1204.85							3381.87
	Gorilla_gorilla_gorilla	65	1	 490 670.00 		59159.66								10623.90			4332.40	344837.68	201444.72											1378.18							2858.45
	Gorilla_gorilla_gorilla	65	1	 401 750.00 		48078.31								6264.76			4495.74	263463.32	152715.00											647.53							2734.00
	Gorilla_gorilla_gorilla	65	1	 417 200.00 		68625.00								9493.75			4500.00	344461.11	216255.56											1081.25							2038.89
	Gorilla_gorilla_gorilla	65	1	 488 260.00 		61045.83								6478.89			4682.22	308521.11	183030.56											1920.63							1858.89
	Gorilla_gorilla_gorilla	65	1	 380 500.00 		48781.25								8098.61			5040.00	263841.67	159246.11											1478.75							1711.11
	Gorilla_gorilla_gorilla	65	1	 490 200.00 		78079.39								6685.06			5262.29	275778.93	148233.77											1151.47							3047.84
A,B,C,D	Gorilla_gorilla_gorilla	24,51-52	1	 470 359.00 			4352.00	19370.00	369878.00	316.00		4871.00	1193.00	14567.00	14567.00	2729.00	4781.00			106.00	10547.00	2215.00	2782.00	2604.00	178.00	671.00											
	Gorilla_gorilla_gorilla	56-57	1	 362 900.00 										9252.00			2700.00													1306.00							
	Gorilla_gorilla_gorilla	62-63	2	 397 300.00 		64700.00												246900.00	152700.00																		
	Gorilla_gorilla_graueri	65	1	 442 650.00 		52504.86								8527.36			2940.00	261222.50	137760.00											1246.88							3018.75
	Gorilla_gorilla_graueri	65	1	 372 350.00 		49527.43								9551.60			2644.44	226003.75	149590.00											1863.75							2957.50
	Gorilla_gorilla_graueri	65	1	 430 650.00 		45760.07								10742.57			3243.33	300046.25	198546.25											1378.13							3430.00
	Hylobates_lar	34	1	 99 110.59 																							4574.00										
	Hylobates_lar	43	1	 88 803.00 																														234.00	262.00	80.00	578.00
	Hylobates_lar	53	3	 100 701.81 	2249.16																										3.92	4.12	4.88				
	Hylobates_lar	60	1	 88 800.00 														59600.00									3600.00										
	Hylobates_lar	60	1	 115 800.00 														77000.00									4600.00										
	Hylobates_lar	60	2	 102 300.00 																								166.00									
	Hylobates_lar	61	1	 76 100.00 		10400.00																															
	Hylobates_lar	61	1	 76 300.00 		9000.00																															
	Hylobates_lar	61	1	 79 300.00 		12300.00																															
