Taxon	 Weighted Average Brain Weight (from 'Brain Pivot' tab) 	 Brain Weight (from Ref 54) 	Final Brain Weight (g)	Female Brain Weight
Alouatta_caraya	 52.72 		 52.72 	 49.52 
Alouatta_palliata	 50.91 		 50.91 	 55.11 
Alouatta_pigra	 52.97 		 52.97 	 -   
Alouatta_seniculus	 56.57 		 56.57 	 56.29 
Aotus_azarai	 21.41 		 21.41 	 -   
Aotus_lemurinus	 16.78 		 16.78 	 16.69 
Aotus_trivirgatus	 17.21 		 17.21 	 16.71 
Arctocebus_calabarensis	 7.17 		 7.17 	 6.66 
Ateles_belzebuth	 118.58 		 118.58 	 116.40 
Ateles_fusciceps	 114.59 		 114.59 	 -   
Ateles_geoffroyi	 108.54 		 108.54 	 112.70 
Ateles_paniscus	 105.94 		 105.94 	 -   
Avahi_laniger	 10.25 		 10.25 	 -   
Avahi_occidentalis	 8.24 		 8.24 	 -   
Brachyteles_arachnoides	 -   	 120.10 	 120.10 	 -   
Hoolock_hoolock	 114.66 		 114.66 	 109.59 
Cacajao_calvus	 -   	 73.30 	 73.30 	 -   
Callicebus_moloch	 17.73 		 17.73 	 -   
Callicebus_torquatus	 20.56 		 20.56 	 -   
Callimico_goeldii	 11.75 		 11.75 	 11.91 
Callithrix_argentata	 8.05 		 8.05 	 -   
Callithrix_geoffroyi	 8.64 		 8.64 	 -   
Callithrix_jacchus	 7.64 		 7.64 	 -   
Callithrix_penicillata	 7.55 		 7.55 	 8.06 
Callithrix_pygmaea	 4.45 		 4.45 	 4.97 
Cebus_albifrons	 64.71 		 64.71 	 58.84 
Cebus_apella	 68.75 		 68.75 	 67.53 
Cebus_capucinus	 73.79 		 73.79 	 72.77 
Cebus_olivaceus	 72.96 		 72.96 	 70.85 
Cercocebus_agilis	 118.32 		 118.32 	 -   
Cercocebus_torquatus_atys	 99.81 		 99.81 	 -   
Cercocebus_galeritus	 102.64 		 102.64 	 -   
Cercocebus_torquatus	 111.43 		 111.43 	 -   
Chlorocebus_pygerythrus	 64.78 		 64.78 	 61.26 
Cercopithecus_ascanius	 63.62 		 63.62 	 56.91 
Cercopithecus_campbelli	 58.98 		 58.98 	 57.03 
Cercopithecus_cephus	 67.93 		 67.93 	 -   
Cercopithecus_diana	 64.86 		 64.86 	 -   
Cercopithecus_lhoesti	 -   	 76.00 	 76.00 	 -   
Cercopithecus_mitis	 73.96 		 73.96 	 68.18 
Cercopithecus_mona	 65.70 		 65.70 	 54.39 
Cercopithecus_neglectus	 67.54 		 67.54 	 63.89 
Cercopithecus_nictitans	 73.69 		 73.69 	 -   
Cercopithecus_pogonias	 63.27 		 63.27 	 -   
Cheirogaleus_major	 6.12 		 6.12 	 -   
Cheirogaleus_medius	 2.91 		 2.91 	 -   
