Taxon	Diet Category	Reference	% Fruit
Alouatta_caraya	Fol	54	25
Alouatta_palliata	Fol	54	42
Alouatta_pigra	Fol	54	n/a
Alouatta_seniculus	Fol	54	42
Aotus_azarai	Frug/Fol	56	n/a
Aotus_lemurinus	Frug	54	n/a
Aotus_trivirgatus	Frug	54	45.5
Arctocebus_calabarensis	Om	56	n/a
Ateles_belzebuth	Frug/Fol	54	83
Ateles_fusciceps	Frug	3	n/a
Ateles_geoffroyi	Frug	54	68.7
Ateles_paniscus	Frug	54	82.9
Avahi_laniger	Fol	56	0
Avahi_occidentalis	Fol	56	n/a
Brachyteles_arachnoides	Frug/Fol	56	n/a
Hoolock_hoolock	Frug	54	67
Cacajao_calvus	Frug	54	18
Callicebus_moloch	Frug	54	53.7
Callicebus_torquatus	Frug	54	33
Callimico_goeldii	Om	56	n/a
Callithrix_argentata	Om	56	n/a
Callithrix_geoffroyi	Om	56	n/a
Callithrix_jacchus	Frug	54	22
Callithrix_penicillata	Om	56	n/a
Callithrix_pygmaea	Om	54	0
Cebus_albifrons	Om	56	24.6
Cebus_apella	Om	56	36
Cebus_capucinus	Om	56	67.5
Cebus_olivaceus	Om	56	46.7
Cercocebus_agilis	Frug	58	n/a
Cercocebus_galeritus	Frug	56	80.1
Cercocebus_torquatus	Frug	56	79
Cercocebus_torquatus_atys	Frug	56	n/a
Cercopithecus_ascanius	Frug	54	60.8
Cercopithecus_campbelli	Frug	3	78
Cercopithecus_cephus	Frug	54	79
Cercopithecus_diana	Frug	3	52
Cercopithecus_lhoesti	Frug	54	n/a
Cercopithecus_mitis	Frug	54	54.5
Cercopithecus_mona	Frug	54	n/a
Cercopithecus_neglectus	Frug	54	77
Cercopithecus_nictitans	Frug	54	67.1
Cercopithecus_pogonias	Frug	54	82.9
Cheirogaleus_major	Om	56	n/a
Cheirogaleus_medius	Om	56	n/a
Chiropotes_satanas	Frug	54	16.2
Chlorocebus_aethiops	Frug	54	n/a
Chlorocebus_pygerythrus	Frug	3	n/a
Colobus_angolensis	Fol	54	14.9
Colobus_guereza	Fol	54	14
Colobus_polykomos	Fol	54	21.4
Colobus_satanas	Fol	54	4
Daubentonia_madagascariensis	Om	56	0
Erythrocebus_patas	Om	54	75
Eulemur_coronatus	Frug/Fol	56	n/a
Eulemur_fulvus_fulvus	Frug/Fol	56	46
Eulemur_macaco_macaco	Frug/Fol	56	n/a
Eulemur_mongoz	Frug/Fol	56	18
Eulemur_rubriventer	Frug/Fol	56	n/a
Euoticus_elegantulus	Om	56	5
Galago_alleni	Om	56	73
Galago_moholi	Om	56	n/a
Galago_senegalensis	Om	56	0
Galagoides_demidoff	Om	56	19
Galagoides_zanzibaricus	Om	56	n/a
Gorilla_beringei	Fol	60	n/a
Gorilla_gorilla_gorilla	Fol	54	67
Hapalemur_griseus	Fol	56	n/a
Hylobates_agilis	Frug/Fol	56	61
Hylobates_klossii	Om	54	72
Hylobates_lar	Frug	54	60
Hylobates_moloch	Frug/Fol	56	61
Hylobates_muelleri	Frug/Fol	56	n/a
Hylobates_pileatus	Frug/Fol	56	79.4
Indri_indri	Fol	56	33
Lagothrix_lagotricha	Om	54	65.7
Lemur_catta	Frug	56	54
Leontopithecus_chrysomelas	Om	56	n/a
Leontopithecus_rosalia	Om	54	84
Lepilemur_mustelinus	Fol	56	6
Lepilemur_ruficaudatus	Fol	56	n/a
Lophocebus_albigena	Frug	56	n/a
Lophocebus_aterrimus	Frug	59	n/a
Loris_tardigradus	Om	56	15
Macaca_arctoides	Frug	54	n/a
Macaca_fascicularis	Frug	54	66.9
Macaca_fuscata	Frug/Fol	56	44
Macaca_mulatta	Frug	54	63
Macaca_nemestrina	Frug	54	75
Macaca_nigra	Frug	54	n/a
Macaca_radiata	Frug	56	53
Macaca_silenus	Om	56	n/a
Macaca_sinica	Frug	54	75
Macaca_sylvanus	Frug/Fol	56	33
Mandrillus_leucophaeus	Frug	54	n/a
Mandrillus_sphinx	Frug	56	92
Microcebus_murinus	Om	56	51
Microcebus_rufus	Om	56	n/a
Miopithecus_talapoin	Om	54	54
Mirza_coquereli	Om	56	n/a
Nasalis_larvatus	Fol	54	23
Nomascus_concolor	Frug	54	n/a
Nycticebus_coucang	Om	56	60
Nycticebus_pygmaeus	Om	56	n/a
Otolemur_crassicaudatus	Om	56	27
Otolemur_garnettii	Om	56	n/a
Pan_paniscus	Frug	54	n/a
Pan_troglodytes_troglodytes	Frug	54	63
Papio_anubis	Frug	54	13.6
Papio_cynocephalus	Frug	54	62
Papio_hamadryas	Frug/Fol	54	88
Papio_papio	Frug	3	n/a
Papio_ursinus	Frug/Fol	54	87
Perodicticus_potto	Om	56	65
Piliocolobus_badius	Fol	54	11
Pithecia_pithecia	Frug	54	31.4
Pongo_abelii	Frug	57	n/a
Pongo_pygmaeus	Frug	54	64
Presbytis_comata	Fol	54	n/a
Presbytis_melalophos	Fol	54	24
Procolobus_verus	Fol	54	9
Propithecus_diadema	Fol	56	20
Propithecus_verreauxi	Fol	56	41
Pygathrix_nemaeus	Fol	56	n/a
Saguinus_fuscicollis	Om	54	60.4
Saguinus_geoffroyi	Om	56	n/a
Saguinus_midas	Om	54	69
Saguinus_mystax	Om	54	n/a
Saguinus_oedipus	Om	54	n/a
Saimiri_boliviensis	Om	54	n/a
Saimiri_oerstedii	Om	54	n/a
Saimiri_sciureus	Om	54	28
Semnopithecus_entellus	Fol	54	24.4
Symphalangus_syndactylus	Fol	54	47
Tarsius_bancanus	Om	56	n/a
Tarsius_syrichta	Om	56	0
Theropithecus_gelada	Frug	54	26
Trachypithecus_cristatus	Fol	54	19
Trachypithecus_johnii	Fol	54	21
Trachypithecus_obscurus	Fol	54	35
Trachypithecus_phayrei	Fol	56	n/a
Trachypithecus_pileatus	Fol	54	n/a
Trachypithecus_vetulus	Fol	54	n/a
Varecia_variegata_variegata	Frug	56	73.9
