Row Labels	 Average of Group Size 	Min of Group Size	Max of Group Size	Count of First or Duplicate Entry?
Alouatta_caraya	 6.68 	5	8.05	3
Alouatta_palliata	 15.55 	3	59	32
Alouatta_pigra	 5.93 	5.3	7	3
Alouatta_seniculus	 6.97 	4.3	9.5	10
Aotus_azarai	 3.00 	3	3	1
Aotus_lemurinus	 3.50 	3.5	3.5	1
Aotus_trivirgatus	 3.51 	1.5	6	8
Arctocebus_calabarensis	 1.25 	1	1.5	2
Ateles_belzebuth	 16.40 	12	20	5
Ateles_fusciceps	 5.00 	5	5	1
Ateles_geoffroyi	 28.02 	4.5	44	14
Ateles_paniscus	 25.50 	18	38.5	3
Avahi_laniger	 2.67 	2	3.5	3
Brachyteles_arachnoides	 27.08 	20	45	6
Hoolock_hoolock	 3.35 	3.2	3.5	2
Cacajao_calvus	 15.00 	12.5	17.5	2
Callicebus_moloch	 3.37 	2	5	9
Callicebus_torquatus	 3.58 	3	4	4
Callimico_goeldii	 6.50 	5	8.5	3
Callithrix_argentata	 6.20 	6.2	6.2	1
Callithrix_geoffroyi	 9.00 	9	9	1
Callithrix_jacchus	 7.88 	3	12	9
Callithrix_penicillata	 6.60 	6.6	6.6	1
Callithrix_pygmaea	 5.63 	3	8	7
Cebus_albifrons	 21.13 	14.5	35	4
Cebus_apella	 12.06 	7	16.3	5
Cebus_capucinus	 16.97 	5	31	16
Cebus_olivaceus	 22.42 	18.3	33	5
Cercocebus_agilis	 15.00 	15	15	1
Cercocebus_galeritus	 21.80 	10.5	27	5
Cercocebus_torquatus	 30.17 	18.5	37	3
Cercocebus_torquatus_atys	 95.00 	95	95	1
Cercopithecus_ascanius	 26.29 	14	37.5	16
Cercopithecus_campbelli	 9.63 	5	14	4
Cercopithecus_cephus	 10.75 	10	11.5	2
Cercopithecus_diana	 20.30 	5	35	5
Cercopithecus_lhoesti	 14.20 	11	17.4	2
Cercopithecus_mitis	 21.28 	10	49	16
Cercopithecus_mona	 21.50 	21.5	21.5	1
Cercopithecus_neglectus	 5.00 	4	6	3
Cercopithecus_nictitans	 18.25 	16.5	20	2
Cercopithecus_pogonias	 14.83 	14	15.5	3
Cheirogaleus_major	 5.50 	5.5	5.5	1
Cheirogaleus_medius	 2.00 	1	3	2
Chiropotes_satanas	 19.50 	19	20	2
Chlorocebus_aethiops	 22.57 	7.7	40.5	13
Chlorocebus_pygerythrus	 40.50 	40.5	40.5	1
Colobus_angolensis	 9.00 	9	9	1
Colobus_guereza	 8.60 	4.8	12	5
Colobus_polykomos	 11.00 	9	13	2
Colobus_satanas	 14.33 	12.5	15.5	3
Daubentonia_madagascariensis	 1.75 	1.5	2	2
Erythrocebus_patas	 26.52 	8	51	15
Eulemur_coronatus	 6.95 	5.5	8.4	2
Eulemur_fulvus_fulvus	 10.08 	7	15.5	5
Eulemur_macaco_macaco	 8.97 	8.4	10	3
Eulemur_mongoz	 2.70 	2	3.5	3
Eulemur_rubriventer	 3.10 	3	3.2	2
Euoticus_elegantulus	 2.50 	1	4	2
Galago_alleni	 1.75 	1	2.5	2
Galago_moholi	 2.00 	2	2	1
Galago_senegalensis	 1.00 	1	1	1
Galagoides_demidoff	 2.25 	1	3.5	2
Galagoides_zanzibaricus	 3.50 	3.5	3.5	1
Gorilla_beringei	 13.00 	9	17	2
Gorilla_gorilla_gorilla	 10.05 	2	27	17
Hapalemur_griseus	 3.55 	2.6	4.5	2
Hylobates_agilis	 3.95 	3.5	4.4	2
Hylobates_klossii	 3.60 	3.4	3.8	4
Hylobates_lar	 3.51 	2	5	7
Hylobates_moloch	 3.50 	3.5	3.5	1
Hylobates_muelleri	 3.45 	3.4	3.5	2
Hylobates_pileatus	 3.85 	3.7	4	2
Indri_indri	 3.28 	2	4.3	5
Lagothrix_lagotricha	 20.31 	8	33	11
Lemur_catta	 15.75 	12	18	6
Leontopithecus_chrysomelas	 6.70 	6.7	6.7	1
Leontopithecus_rosalia	 5.40 	5	5.8	2
Lepilemur_mustelinus	 1.50 	1	2	2
Lophocebus_albigena	 15.68 	5	27	21
Lophocebus_aterrimus	 9.50 	9.5	9.5	1
Loris_tardigradus	 2.00 	1	3	2
Macaca_arctoides	 13.75 	5	22.5	2
Macaca_fascicularis	 27.52 	18.2	35.75	7
Macaca_fuscata	 64.65 	24	117	4
Macaca_mulatta	 36.36 	6	65	24
Macaca_nemestrina	 31.56 	18.3	50	5
Macaca_nigra	 47.00 	47	47	1
Macaca_radiata	 28.86 	24.5	34.5	5
Macaca_silenus	 19.00 	17	21	2
Macaca_sinica	 24.80 	24.8	24.8	1
Macaca_sylvanus	 21.86 	10	39	5
Mandrillus_leucophaeus	 96.50 	96.5	96.5	1
Mandrillus_sphinx	 95.00 	95	95	1
Microcebus_murinus	 5.10 	3	7.2	2
Microcebus_rufus	 2.25 	2	2.5	2
Miopithecus_talapoin	 68.38 	13	112	4
Mirza_coquereli	 1.50 	1	2	2
Nasalis_larvatus	 9.94 	3	20	10
Nomascus_concolor	 3.50 	3.5	3.5	1
Nycticebus_coucang	 1.00 	1	1	1
Otolemur_crassicaudatus	 2.25 	1	3.5	2
Pan_paniscus	 67.50 	10	125	2
Pan_troglodytes_troglodytes	 42.71 	5.2	187	14
Papio_anubis	 47.05 	9	150	31
Papio_cynocephalus	 48.21 	18	81.75	10
Papio_hamadryas	 41.13 	14	68	4
Papio_papio	 136.67 	50	240	3
Papio_ursinus	 41.10 	8	79	9
Perodicticus_potto	 1.25 	1	1.5	2
Piliocolobus_badius	 29.18 	8	82	30
Pithecia_pithecia	 2.65 	2.6	2.7	2
Pongo_abelii	 2.00 	2	2	1
Pongo_pygmaeus	 1.60 	1	2	3
Presbytis_comata	 7.00 	7	7	1
Presbytis_melalophos	 12.77 	9.3	15	3
Procolobus_verus	 8.00 	8	8	1
Propithecus_diadema	 5.55 	5.1	6	2
Propithecus_verreauxi	 5.92 	5	7	5
Pygathrix_nemaeus	 21.45 	9.3	43	4
Saguinus_fuscicollis	 5.70 	4.7	6.5	3
Saguinus_geoffroyi	 5.15 	5.15	5.15	1
Saguinus_midas	 5.00 	5	5	1
Saguinus_mystax	 5.30 	5.3	5.3	1
Saguinus_oedipus	 6.30 	3	8	6
Saimiri_boliviensis	 20.00 	20	20	1
Saimiri_oerstedii	 24.00 	23	25	2
