Taxon	 Ref (17) 	 Ref (18) 	 Ref (3) 	 Ref (35) 	 Ref (63) 	 Ref (64) 	 Ref (65) 	 Ref (66) 	Social System	Mating System
Alouatta_caraya	 -   	 -   	 -   	 -   	 -   	 MM and UM 	 MMMF 	 UM, MMMF 	Polygynandry	Harem Polygyny
Alouatta_palliata	 Harem 	 MMMF 	 -   	 -   	 -   	 MM 	 MMMF 	 UM, MMMF 	Polygynandry	Harem Polygyny
Alouatta_pigra	 -   	 -   	 -   	 -   	 -   	 -   	 MMMF 	 UM, MMMF 	Polygynandry	Harem Polygyny
Alouatta_seniculus	 -   	 -   	 MMMF 	 -   	 -   	 MM and UM 	 MMMF 	 UM, MMMF 	Polygynandry	Harem Polygyny
Aotus_azarai	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 PL 	Pair	Monogamy
Aotus_lemurinus	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 PL 	Pair	Monogamy
Aotus_trivirgatus	 Mono 	 Mon 	 Mon 	 -   	 Mono/PA 	 Mon 	 Mon 	 PL 	Pair	Monogamy
Arctocebus_calabarensis	 -   	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Ateles_belzebuth	 -   	 -   	 MMMF 	 -   	 -   	 -   	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Ateles_fusciceps	 -   	 -   	 MMMF 	 -   	 Polygynous 	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Ateles_geoffroyi	 MM 	 MMMF 	 -   	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Ateles_paniscus	 -   	 -   	 -   	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Avahi_laniger	 Mono 	 -   	 -   	 Pair 	 Solitary 	 Mon 	 Mon 	 PL 	Pair	Monogamy
Avahi_occidentalis	 Mono 	 -   	 -   	 -   	 Solitary 	 -   	 -   	 PL 	Pair	Monogamy
Brachyteles_arachnoides	 -   	 -   	 -   	 -   	 -   	 -   	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Hoolock_hoolock	 -   	 -   	 Mon 	 -   	 -   	 Mon 	 Mon 	 PL 	Pair	Monogamy
Cacajao_calvus	 -   	 -   	 -   	 -   	 -   	 MM 	 Harem 	 -   	Polygynandry	Harem Polygyny
Callicebus_moloch	 Mono 	 -   	 Mon 	 -   	 Mono/PA 	 Mon 	 Mon 	 PL 	Pair	Monogamy
Callicebus_torquatus	 -   	 -   	 Mon 	 -   	 -   	 Mon 	 Mon 	 -   	Pair	Monogamy
Callimico_goeldii	 Harem 	 -   	 Mon 	 -   	 Mono/PA 	 -   	 -   	 PL, UM, MMMF 	Pair	Monogamy
Callithrix_argentata	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 PL, UM, MMMF 	Pair	Monogamy
Callithrix_geoffroyi	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 PL, UM, MMMF 	Pair	Monogamy
Callithrix_jacchus	 Mono 	 PA 	 -   	 -   	 Mono/PA 	 -   	 -   	 PL, UM, MMMF 	Pair	Polyandry
Callithrix_penicillata	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 PL, UM, MMMF 	Pair	Monogamy
Callithrix_pygmaea	 Mono 	 -   	 Mon 	 -   	 Mono/PA 	 Mon and PA 	 Mon 	 PL, UM, MMMF 	Pair	Polyandry
Cebus_albifrons	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Cebus_apella	 MM 	 -   	 -   	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Cebus_capucinus	 -   	 -   	 Harem 	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Harem Polygyny
Cebus_olivaceus	 -   	 -   	 MMMF 	 -   	 -   	 MM UM 	 -   	 -   	Polygynandry	Polygynandry
Cercocebus_agilis	 -   	 -   	 -   	 -   	 -   	 -   	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Cercocebus_galeritus	 -   	 -   	 MMMF 	 -   	 -   	 MM 	 -   	 MMMF 	Polygynandry	Polygynandry
Cercocebus_torquatus	 -   	 -   	 -   	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Cercocebus_torquatus_atys	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Cercopithecus_ascanius	 Harem 	 -   	 Harem 	 -   	 -   	 MM and UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Cercopithecus_campbelli	 -   	 -   	 Harem 	 -   	 -   	 -   	 -   	 UM 	Polygyny	Harem Polygyny
Cercopithecus_cephus	 -   	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Cercopithecus_diana	 -   	 -   	 -   	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Cercopithecus_lhoesti	 -   	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Cercopithecus_mitis	 Harem 	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 UM, MMMF 	Polygynandry	Harem Polygyny
Cercopithecus_mona	 -   	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Cercopithecus_neglectus	 -   	 -   	 Harem 	 -   	 -   	 Mon and UM 	 Harem 	 PL, UM 	Polygyny	Harem Polygyny
Cercopithecus_nictitans	 -   	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Cercopithecus_pogonias	 -   	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Cheirogaleus_major	 -   	 -   	 -   	 NP 	 Solitary 	 -   	 -   	 S 	Solitary	Spatial Polygyny
Cheirogaleus_medius	 S 	 -   	 -   	 Pair 	 Solitary 	 Mon 	 Solitary 	 S 	Solitary	Monogamy
Chiropotes_satanas	 -   	 -   	 -   	 -   	 -   	 MM 	 Mon 	 -   	Polygynandry	Polygynandry
Chlorocebus_aethiops	 -   	 MMMF 	 -   	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Chlorocebus_pygerythrus	 -   	 -   	 MMMF 	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Colobus_angolensis	 -   	 -   	 Harem 	 -   	 -   	 MM 	 MMMF 	 PL, UM, MMMF 	Polygynandry	Harem Polygyny
Colobus_guereza	 -   	 -   	 Harem 	 -   	 -   	 MM and UM 	 Harem 	 PL, UM, MMMF 	Polygynandry	Harem Polygyny
Colobus_polykomos	 -   	 Harem 	 Harem 	 -   	 -   	 MM and UM 	 MMMF 	 UM, MMMF 	Polygynandry	Harem Polygyny
Colobus_satanas	 -   	 -   	 MMMF 	 -   	 -   	 MM and UM 	 MMMF 	 -   	Polygynandry	Polygynandry
Daubentonia_madagascariensis	 -   	 -   	 -   	 NP 	 Solitary 	 -   	 -   	 S 	Solitary	Spatial Polygyny
Erythrocebus_patas	 Harem 	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Eulemur_coronatus	 -   	 -   	 -   	 NP 	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Eulemur_fulvus_fulvus	 MM 	 -   	 MMMF 	 NP 	 Polygynous 	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Eulemur_macaco_macaco	 -   	 -   	 -   	 NP 	 -   	 MM 	 -   	 MMMF 	Polygynandry	Polygynandry
Eulemur_mongoz	 -   	 -   	 Harem 	 Pair 	 -   	 Mon 	 MMMF 	 PL, MMMF 	Pair	Monogamy
Eulemur_rubriventer	 -   	 -   	 -   	 Pair 	 -   	 Mon 	 MMMF 	 PL 	Pair	Monogamy
Euoticus_elegantulus	 -   	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S, UM 	Solitary	Spatial Polygyny
Galago_alleni	 -   	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S, UM 	Solitary	Spatial Polygyny
Galago_moholi	 -   	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S, UM 	Solitary	Spatial Polygyny
Galago_senegalensis	 Harem 	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S, UM 	Solitary	Spatial Polygyny
Galagoides_demidoff	 Harem 	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S, PL, UM 	Solitary	Spatial Polygyny
Galagoides_zanzibaricus	 -   	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S, PL, UM 	Solitary	Spatial Polygyny
Gorilla_beringei	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	Polygyny	Harem Polygyny
