Genre	Species	Taxon	Overlap	Group_size	Endocranial_volume_cm3	Body_mass_g	
Alouatta	belzebul	Atelidae	0.16	7.4	52.84	6395	
Alouatta	caraya	Atelidae	0.209475	9.75	52.63	5383	
Alouatta	guariba	Atelidae	0.21	7.575	51.7	5175	
Alouatta	palliate	Atelidae	0.846667	18.3	49.88	6250	
Alouatta	pigra	Atelidae	0.131	8.5	51.13	8915	
Alouatta	seniculus	Atelidae	0.5275	10.25	55.22	5950	
Aotus	vociferans	Cebidae	0	5	16.85	989	
Ateles	belzebuth	Atelidae	0.25	19.5	117.02	8167	
Ateles	geoffroyi	Atelidae	0	28.5	105.09	7535	
Ateles	paniscus	Atelidae	0.065	28.25	103.85	8280	
Avahi	laniger	Lemuriformes	0	2.5	9.86	1207	
Brachyteles	arachnoides	Atelidae	0.46	26	116.72	8840	
Bunopithecus	hoolock	Hominoidea	0.09	3.5	110.68	6728	
Callimico	goeldii	Pitheciidae	0	4	11.43	484	
Callithrix	argentata	Cebidae	0.242	6	7.95	345	
Callithrix	jacchus	Cebidae	0.4835	10	7.24	320	
Callithrix	penicillata	Cebidae	0.5	6.6	7.32	328	
Callithrix	pygmaea	Cebidae	0	5.5	4.17	116	
Cebus	albifrons	Cebidae	1	14.5	65.45	2735	
Cebus	paella	Cebidae	0.755	12.3	66.63	2936	
Cebus	capucinus	Cebidae	0.89	15.67	72.93	2861	
Cebus	olivaceus	Cebidae	1	20	69.84	2931	
Cercocebus	galeritus	Papionini	0.8265	23.585	99.07	7435	
Cercopithecus	ascanius	Cercopithecini	0.22	10.88	59.58	3714	
Cercopithecus	campbelli	Cercopithecini	0.55	9.3	57.39	3600	
Cercopithecus	cephus	Cercopithecini	0.075	6	65.26	3585	
Cercopithecus	diana	Cercopithecini	0.66	23.5	62.61	4550	
Cercopithecus	mitis	Cercopithecini	0.226667	25.5	71.33	6109	
Cercopithecus	neglectus	Cercopithecini	0.1475	8.15	65.97	5450	
Cercopithecus	nictitans	Cercopithecini	0	11.3	71.13	5465	
Cercopithecus	petaurista	Cercopithecini	0.645	11.3	55.08	3609	
Chlorocebus	pygerythrus	Cercopithecini	0.32	21.19333	62.58	4324	
Chlorocebus	sabaeus	Cercopithecini	0.1	23	64.91	4312	
Colobus	angolensis	Colobinae	1	13.9	77.7	8625	
Colobus	guereza	Colobinae	0.5632	10.528	74.39	8589	
Colobus	polykomos	Colobinae	0.205	13.6	73.83	9100	
Colobus	satanas	Colobinae	0.65	17	74.9	8910	
Colobus	vellerosus	Colobinae	0.8225	21.6	73.07	7820	
Erythrocebus	patas	Cercopithecini	0.255	43.15	97.73	9450	
Eulemur	fulvus rufus	Lemuriformes	0.75	7.856667	25.77	220	
Eulemur	macaco flavifrons	Lemuriformes	0.4594	8.5	24.51	2390	Brain size from E. macaco
Eulemur	mongoz	Lemuriformes	0.4	4	20.17	1212	
Eulemur	rubriventer	Lemuriformes	0	3.375	26.23	1960	
Gorilla	beringei	Hominoidea	0.732	12.465	491.27	130000	
Gorilla	gorilla gorilla	Hominoidea	0.635	18.725	490.41	120950	
Hapalemur	griseus	Lemuriformes	0.03	4	14.09	709	
Homo	sapiens	Hominoidea	1	150/490	1212.7	56700	
