Species;Guild;Doi_Suthep-Pui;Gumti;Hollongapar;Huai_Kha_Khaeng;Huong_Khe;Khao_Yai;Na_Hang;Namdaphak;Phu_Khieo;Sepahijala;Wuliang
Macaca_fascicularis;Fruit;0;0;0;1;0;0;0;0;0;0;0
Nomascus_concolor;Fruit;0;0;0;0;1;0;0;0;0;0;1
Bunopithecus_hoolock;Fruit;0;1;1;0;0;0;0;1;0;0;0
Hylobates_lar;Fruit;1;0;0;1;0;1;0;0;1;0;0
Macaca_arctoides;Fruit;1;1;0;1;0;0;0;1;1;0;1
Macaca_assamensis;Fruit;1;0;0;1;1;0;1;1;1;0;0
Macaca_nemestrina;Fruit;1;1;0;1;0;1;0;1;1;1;0
Nycticebus_pygmaeus;Insects;0;0;0;0;0;0;1;0;0;0;0
Nycticebus_coucang;Insects;1;1;0;1;0;1;0;1;1;1;0
Pygathrix_nemaeus;Leaves;0;0;0;0;1;0;0;0;0;0;0
Rhinopithecus_avunculus;Leaves;0;0;0;0;0;0;1;0;0;0;0
Trachypithecus_geei;Leaves;0;0;1;0;0;0;0;0;0;0;0
Semnopithecus_entellus;Leaves;0;1;1;0;0;0;0;0;0;0;0
Trachypithecus_cristatus;Leaves;0;0;0;1;0;1;0;0;1;0;0
Trachypithecus_pileatus;Leaves;0;1;1;0;0;0;0;1;0;1;0
Trachypithecus_phayrei;Leaves;1;1;0;1;0;0;0;0;1;1;1
Macaca_mulatta;Leaves;1;1;0;1;1;0;1;1;1;1;1
