Species;Guild;Amboseli;Awash;Bole;Budongo;Bwindi;Diani_Beach;Gombe;Ituri;Jozani;Kahuzi-Biega;Kakamega;Kibale;Laikipia;Mahale;Mikumi;Ruaha;Semliki-Toro;Tana;Uzungwa_Mtns;Zomba
Cercocebus_agilis;Fruit;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Cercopithecus_wolfi;Fruit;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Erythrocebus_patas;Fruit;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Cercocebus_galeritus;Fruit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Cercopithecus_hamlyni;Fruit;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Cercopithecus_neglectus;Fruit;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Lophocebus_alibgena;Fruit;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Cercopithecus_lhoesti;Fruit;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
Cercopithecus_ascanius;Fruit;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0
Pan_troglodytes;Fruit;0;0;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0
Perodicticus_potto;Fruit;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0
Cercopithecus_mitis;Fruit;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1
Chlorocebus_aethiops;Fruit;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1
Papio_hamadryas;Fruit;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1
Galago_gallarum;Insects;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Galagoides_granti;Insects;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Galagoides_zanzibaricus;Insects;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1
Galago_matschiei;Insects;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
Galagoides_thomasi;Insects;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0
Galagoides_demidovii;Insects;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0
Otolemur_garnettii;Insects;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0
Galago_moholi;Insects;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;1;0;0;1;1
Otolemur_crassicaudatus;Insects;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1
Galago_senegalensis;Insects;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0
Gorilla_gorilla;Leaves;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Colobus_angolensis;Leaves;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0
Colobus_guereza;Leaves;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
Procolobus_badius;Leaves;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;1;1;0
