Species;Guild;Assirik;Kedougou;Kilum-Ijim;Korup;Shai_Hills;Tai;Tiwai;Waza
Cercocebus_torquatus;Fruit;0;0;0;1;0;0;0;0
Cercopithecus_erythrotis;Fruit;0;0;0;1;0;0;0;0
Cercopithecus_mona;Fruit;0;0;0;1;0;0;0;0
Cercopithecus_pogonias;Fruit;0;0;0;1;0;0;0;0
Cercopithecus_preussi;Fruit;0;0;1;0;0;0;0;0
Mandrillus_leucophaeus;Fruit;0;0;0;1;0;0;0;0
Cercocebus_atys;Fruit;0;0;0;0;0;1;1;0
Cercopithecus_campbelli;Fruit;0;0;0;0;0;1;1;0
Cercopithecus_diana;Fruit;0;0;0;0;0;1;1;0
Cercopithecus_petaurista;Fruit;0;0;0;0;0;1;1;0
Cercopithecus_nictitans;Fruit;0;0;1;1;0;1;0;0
Erythrocebus_patas;Fruit;1;1;0;0;0;0;0;1
Papio_hamadryas;Fruit;1;0;1;0;1;0;0;1
Chlorocebus_aethiops;Fruit;1;1;1;0;0;0;1;1
Pan_troglodytes;Fruit;1;1;0;1;0;1;1;0
Perodicticus_potto;Fruit;1;0;1;1;1;1;1;0
Arctocebus_calabarensis;Insects;0;0;0;1;0;0;0;0
Euoticus_pallidus;Insects;0;0;0;1;0;0;0;0
Galago_alleni;Insects;0;0;0;1;0;0;0;0
Galagoides_demidovii;Insects;0;0;0;1;1;1;1;0
Galago_senegalensis;Insects;1;1;1;0;0;0;1;1
Galagoides_thomasi;Insects;0;0;1;1;1;1;1;0
Colobus_polykomos;Leaves;0;0;0;0;0;1;1;0
Procolobus_verus;Leaves;0;0;0;0;0;1;1;0
Procolobus_badius;Leaves;0;0;0;1;0;1;1;0
