Species;Guild;Belem;Manaus;Pico_da_Neblina;Rio_Urucu;Tapajos
Callithrix_humeralifer;Exudates;0;0;0;0;1
Cebuella_pygmaea;Exudates;0;0;0;1;0
Mico_argentatus;Exudates;0;0;0;0;1
Mico_leucippe;Exudates;0;0;0;0;1
Aotus_infulatus;Fruit;1;0;0;0;0
Aotus_nigriceps;Fruit;0;0;0;1;0
Aotus_trivirgatus;Fruit;0;0;1;0;0
Ateles_chamek;Fruit;0;0;0;1;0
Cacajo_melanocephalus;Fruit;0;0;1;0;0
Callicebus_cupreus;Fruit;0;0;0;1;0
Callicebus_moloch;Fruit;0;0;0;0;1
Chiropotes_albinasus;Fruit;0;0;0;0;1
Lagothrix_lagotricha;Fruit;0;0;0;1;0
Pithecia_albicans;Fruit;0;0;0;1;0
Pithecia_hirsuta;Fruit;0;0;0;0;1
Pithecia_pithecia;Fruit;0;1;0;0;0
Saguinus_midas;Fruit;0;1;0;0;0
Ateles_belzebuth;Fruit;0;0;1;0;1
Ateles_paniscus;Fruit;0;1;0;0;1
Callicebus_torquatus;Fruit;0;0;1;1;0
Chiropotes_satanas;Fruit;1;1;0;0;0
Saimiri_ustus;Fruit;0;0;0;1;1
Cebus_albifrons;Fruit;0;0;1;1;1
Cebus_apella;Fruit;1;1;0;1;1
Saguinus_fuscicollis;Fruit-Insects;0;0;0;1;0
Saguinus_mystax;Fruit-Insects;0;0;0;1;0
Saimiri_sciureus;Fruit-Insects;1;0;0;0;0
Alouatta_belzebul;Leaves;1;0;0;0;1
Alouatta_seniculus;Leaves;0;1;1;1;0
