Species;Guild;Beni;Camp_Callicebus;El_Triunfo;Manu;Quebrada_Blanco;Rio_Cenepa;Saimiria;San_Sebastian;Tambocha;Yasuni
Aotus_azarae;Fruit;1;0;0;0;0;0;0;0;0;0
Aotus_nancymae;Fruit;0;0;0;0;1;0;0;0;0;0
Aotus_nigriceps;Fruit;0;0;0;0;0;0;0;1;0;0
Aotus_trivirgatus;Fruit;0;0;0;1;0;0;0;0;0;0
Cacajo_calvus;Fruit;0;0;0;0;1;0;0;0;0;0
Callicebus_brunneus;Fruit;0;0;0;0;0;0;0;1;0;0
Callicebus_donacophilus;Fruit;1;0;0;0;0;0;0;0;0;0
Callicebus_torquatus;Fruit;0;1;0;0;0;0;0;0;0;0
Callimico_goeldii;Fruit;0;0;0;0;0;0;0;1;0;0
Pithecia_irrorata;Fruit;0;0;0;0;0;0;0;1;0;0
Saguinus_imperator;Fruit;0;0;0;1;0;0;0;0;0;0
Saguinus_labiatus;Fruit;0;0;0;0;0;0;0;1;0;0
Aotus_vociferans;Fruit;0;0;0;0;0;1;0;0;0;1
Ateles_belzebuth;Fruit;0;0;0;0;0;0;1;0;0;1
Callicebus_moloch;Fruit;0;1;0;1;0;0;0;0;0;0
Cebus_apella;Fruit;0;0;0;0;1;0;1;0;0;0
Ateles_chamek;Fruit;1;0;1;1;0;0;0;0;0;0
Saguinus_tripartitus;Fruit;0;0;0;0;1;0;0;0;1;1
Callicebus_cupreus;Fruit;0;1;0;0;1;1;0;0;0;1
Cebus_libidinosus;Fruit;1;0;1;1;0;0;0;1;0;0
Lagothrix_lagotricha;Fruit;0;0;0;0;1;0;1;0;1;1
Saimiri_bolivensis;Fruit;1;0;1;1;0;0;0;1;0;0
Pithecia_monachus;Fruit;0;1;0;0;1;1;1;0;1;1
Cebus_albifrons;Fruit;0;0;0;1;1;1;1;1;1;1
Saguinus_mystax;Fruit-Insects;0;0;0;0;1;0;0;0;0;0
Saguinus_fuscicollis;Fruit-Insects;0;1;0;1;1;0;1;1;0;0
Saimiri_sciureus;Fruit-Insects;0;0;0;0;1;1;1;0;1;1
Alouatta_sara;Leaves;0;0;0;0;0;0;0;1;0;0
Alouatta_seniculus;Leaves;1;0;1;1;1;1;1;0;1;1
