Species;Guild;Esmeralda;Guri_Lake;Mabura;Maracá;Nourages;Puerto_Ayachucho;Raleighvallen-Voltzburg
Cacajo_melanocephalus;Fruit;1;0;0;0;0;0;0
Callicebus_torquatus;Fruit;1;0;0;0;0;0;0
Cebus_albifrons;Fruit;1;0;0;0;0;0;0
Aotus_trivirgatus;Fruit;1;0;0;1;0;1;0
Ateles_belzebuth;Fruit;1;0;0;1;0;1;0
Ateles_paniscus;Fruit;0;0;1;0;1;0;1
Saguinus_midas;Fruit;0;0;1;0;1;0;1
Cebus_apella;Fruit;1;0;1;1;1;0;1
Chiropotes_satanas;Fruit;1;1;1;0;0;1;1
Pithecia_pithecia;Fruit;1;1;1;0;1;0;1
Saimiri_sciureus;Fruit-Insects;1;0;1;1;1;1;1
Cebus_olivaceus;Fruit-Insects;1;1;1;1;1;1;1
