Species;Guild;Amparihibe;Analamazaotra;Andranobe;Andringitra;Anjanaharibe;Ankrindro;Betampona;Mahilaka;Manehoko;Manombo;Manongarivo;Marojejy;Ranomafana;Ste._Luce;Verezantsoro;Vohibola_III;Zahamena
Lemur_catta;Fruit;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Mirza_coquereli;Fruit;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Eulemur_macaco;Fruit;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Varecia_variegata;Fruit;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1
Eulemur_rubriventer;Fruit;1;1;0;1;1;0;0;0;0;0;1;1;1;0;0;1;1
Eulemur_fulvus;Fruit;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1
Cheirogaleus_medius;Fruit-Insects;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Microcebus_mittermeieri;Fruit-Insects;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cheirogaleus_major;Fruit-Insects;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1
Microcebus_rufus;Fruit-Insects;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Allocebus_trichotis;Insects;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
Daubentonia_madagascariensis;Insects;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;1;1
Avahi_occidentalis;Leaves;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Hapalemur_aureus;Leaves;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Hapalemur_simus;Leaves;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1
Lepilemur_dorsalis;Leaves;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Lepilemur_microdon;Leaves;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
Indri_indri;Leaves;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1
Lepilemur_mustelinus;Leaves;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1
Avahi_laniger;Leaves;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1
Hapalemur_griseus;Leaves;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1
