Species;Guild;Analamera;Andohahela;Andranomena;Ankarafantsika;Berenty;Beza_Mahafaly;Bora;Kirindy;Madirovalo;Montage_d'Ambre;Namoroka;Tsimanampetsotsa;Zombitse
Phaner_electromontis;Exudates;1;0;0;0;0;0;0;0;0;1;0;0;0
Phaner_furcifer;Exudates;0;1;1;0;0;0;0;1;0;0;0;0;1
Eulemur_coronatus;Fruit;1;0;0;0;0;0;0;0;0;1;0;0;0
Eulemur_mongoz;Fruit;0;0;0;1;0;0;0;0;1;0;0;0;0
Mirza_coquereli;Fruit;0;0;1;0;0;0;0;1;0;0;0;0;1
Lemur_catta;Fruit;0;1;0;0;1;1;0;0;0;0;0;1;1
Eulemur_fulvus;Fruit;1;0;1;1;1;0;1;1;1;1;1;0;1
Microcebus_berthae;Fruit-Insects;0;0;0;0;0;0;0;1;0;0;0;0;0
Microcebus_myoxinus;Fruit-Insects;0;0;1;0;0;0;0;0;0;0;0;0;0
Microcebus_rufus;Fruit-Insects;1;0;0;0;0;0;0;0;0;0;0;0;0
Cheirogaleus_major;Fruit-Insects;1;0;0;0;0;0;0;0;0;1;0;0;0
Cheirogaleus_crossleyi;Fruit-Insects;1;0;0;0;0;0;0;0;0;1;0;0;0
Microcebus_ravelobensis;Fruit-Insects;0;0;0;1;0;0;1;0;0;0;0;0;0
Microcebus_griseorufus;Fruit-Insects;0;0;0;0;1;1;0;0;0;0;0;1;0
Microcebus_murinus;Fruit-Insects;0;1;1;1;0;0;0;1;1;0;1;0;1
Cheirogaleus_medius;Fruit-Insects;1;1;1;1;1;1;1;1;1;1;1;0;1
Avahi_occidentalis;Leaves;0;0;0;0;0;0;1;0;0;0;0;0;0
Lepilemur_dorsalis;Leaves;1;0;0;0;0;0;0;0;0;0;0;0;0
Lepilemur_edwardsi;Leaves;0;0;0;1;0;0;0;0;1;0;0;0;0
Lepilemur_leucopus;Leaves;0;1;0;0;1;0;0;0;0;0;0;1;0
Lepilemur_ruficaudatus;Leaves;0;0;1;0;0;1;0;1;0;0;1;0;1
Propithecus_tattersalli;Leaves-Fruit;1;0;0;0;0;0;0;0;0;0;0;0;0
Propithecus_verreauxi;Leaves-Fruit;0;1;1;1;1;1;1;1;1;0;1;1;1
