Species;Guild;Gunung_Mulu;Ketambe;Kuala_Lumpat;Kutai;Sungai_Tekam;Tanjung_Putting;Ulu_Sempam
Hylobates_agilis;Fruit;0;0;0;0;0;1;0
Symphalangus_syndactylus;Fruit;0;1;1;0;0;0;1
Pongo_pygmaeus;Fruit;0;1;0;1;0;1;0
Hylobates_lar;Fruit;0;1;1;0;1;0;1
Macaca_fascicularis;Fruit;1;1;1;1;1;1;1
Macaca_nemestrina;Fruit;1;1;1;1;1;1;1
Tarsius_bancanus;Insects;1;0;0;1;0;1;0
Nycticebus_coucang;Insects;1;1;1;1;1;1;1
Presbytis_thomasi;Leaves;0;1;0;0;0;0;0
Presbytis_hosei;Leaves;1;0;0;1;0;0;0
Nasalis_larvatus;Leaves;1;0;0;1;0;1;0
Presbytis_rubicunda;Leaves;1;0;0;1;0;1;0
Trachypithecus_cristatus;Leaves;1;0;0;1;0;1;0
Trachypithecus_obscurus;Leaves;0;0;1;0;1;0;1
Presbytis_femoralis;Leaves;1;0;1;0;1;0;1
