Species	n	Source	Totalbrain	Telencephalon	Neocortex	Hippocampus	Striatum	Diencephalon	Cerebellum	Mesencephalon	Medulla	Pons
Microcebus murinus	1	PBB	1696.29	1036.36	763.02	70.31	63.74	174.61	257.44	94.87	125.08	7.93
Galago senegalensis	1	PBB	3574.89	2341.69	1674.9	145.81	135.52	287.01	578.05	143.78	199.11	25.26
Aotus lemurinus griseimembra	1	PBB	14646.57	11045.66	7632.45	403.77	564.73	971.92	1701.99	304	524.07	98.93
Aotus trivirgatus boliviensis	1	PBB	16920.08	13091.83	9675.47	443.08	631.77	1122.09	1623.46	320.79	630.78	131.13
Ateles fusciceps robustus	1	PBB	104988.09	83409.38	53484.99	1460.71	4010.13	5292.56	12382.19	1179.27	1856.39	868.29
Lagothrix lagotricha	1	PBB	91676.7	73727.19	46869.06	1043.86	3347.81	4821.7	9707.56	1011.69	1743.14	665.42
Callimico goeldii	1	PBB	12112.34	9129.15	6191.43	220.57	474.49	877.72	1270.39	328.47	446.25	60.37
Callithrix geoffroyi	1	PBB	7098.63	5444.31	4057.73	166.26	282.56	432.39	713.35	210.9	259.5	38.17
Callithrix jacchus	1	PBB	8124.76	6314.91	4541.98	203.19	334.26	521.46	686.23	219	347.28	35.88
Callithrix penicillata	2	PBB	6335.88	4694.76	3264.95	160.39	252.38	451.9	727	203.04	222.24	36.94
Callithrix pygmaea	1	PBB	4308.33	3202.87	2241.11	81.48	160.59	338.98	478.12	161.21	93.6	33.55
Cebus apella	1	PBB	74229.03	61387.98	37879.4	548.09	2802.43	3784.61	5931.26	854	1715.21	555.96
Leontopithecus rosalia	2	PBB	11355.29	8746.57	6427.27	225.98	402.2	747.79	1089.9	281.74	416.43	72.86
Saguinus fuscicollis weddelli	1	PBB	8200.26	6176.23	4246.02	210.48	324.77	592.4	827.38	222.27	344.62	37.36
Saguinus imperator	1	PBB	9370.88	7145.58	5012.38	188.04	405.39	682.04	824.25	283.58	378.95	56.48
Saguinus midas	1	PBB	10782.87	8265.36	5863.16	217.45	418.35	703.47	1045.43	301.07	410.82	56.71
Saguinus oedipus	1	PBB	10673.28	8442.91	5996.43	213.38	447.39	706.25	874.42	259.2	345.88	44.62
Saimiri boliviensis	2	PBB	21657.87	18065.35	12418.81	205.94	903.13	1213.45	1378.18	381.27	512.42	107.2
Saimiri sciureus	1	PBB	21642.56	17757.59	12190.01	196.01	783.93	1191.16	1671.98	356.31	559.06	106.46
Cercopithecus hamlyni	1	PBB	70315.19	56609.12	35766.25	1069.19	2196.63	3730.7	6783.83	970.99	1738.51	482.04
Cercopithecus mitis albogularis	1	PBB	66443.85	54545.09	34895.38	782.98	2277.88	3513.38	5433.24	912.63	1539.89	499.62
Cercopithecus nictitans	1	PBB	73183.47	59159.74	37132.31	806.42	2124.61	3367.65	7283.92	996.65	1944	431.51
Colobus guereza	1	PBB	77247.81	60744.88	33524.27	1127.59	2160.5	4331.59	7926.48	998.71	2320.87	925.27
Erythrocebus patas	1	PBB	97005.79	81518.03	49024.07	994.69	2429.86	4474.39	7298.02	1165.77	1958.27	591.31
Lophocebus albigena	1	PBB	89810.41	73890.25	44892.22	1070.65	2949.11	4349.64	8125.75	931.39	1808.51	704.87
Macaca arctoides	3	PBB	90976.42	75646.51	47218.07	824.57	3249.67	4524.12	7583.76	955.89	1688.46	577.7
Macaca fascicularis	2	PBB	53845.39	43435.73	26848.31	534.01	1908.77	2851.41	5145.91	718.12	1315.62	378.61
Macaca fuscata	2	PBB	89294.87	75235.99	48310.08	850.76	3370.82	4396.61	6413.89	999.07	1756.12	493.19
Macaca mulatta	1	PBB	88347.15	72877.16	44557.89	731.6	2811.77	4201.34	7677.54	1024.3	1907.76	659.05
Macaca nemestrina	1	PBB	94813.84	77846.96	42872.64	793.17	3148.98	5478.69	7126.3	1194.62	2462.04	705.23
Macaca nigra	1	PBB	75427.17	61089.79	34402.6	780.2	2650	3954.33	6995.1	954.77	1867.89	565.28
Macaca silenus	1	PBB	95121.19	78735.7	51109.63	886.79	2515.04	4412.88	8282.98	1098.63	1914.11	676.9
Macaca sylvana	1	PBB	83284.63	68216.51	45352.78	923.45	3096.24	4470.4	7259.82	1124.14	1763.79	449.96
Mandrillus sphinx	1	PBB	128292.08	103719.19	66858.27	1167.36	4711.3	5791.53	13347.95	1191.2	2561.02	1681.19
Papio hamadryas	1	PBB	168266.3	139593.78	85309.2	1513.5	4566.84	7643.95	14639.32	1580.78	3505.81	1302.66
Gorilla gorilla gorilla	1	PBB	368395.55	295932.13	138853.21	1474.35	7049.35	16726.38	43960.74	2879.56	5890.55	3006.19
Gorilla gorilla gorilla	2	GWU	432243.52	341380.47	200844.97	1892.57	8681.21	16636.19	60476.48	2689.3	7726	3335.08
Pan paniscus	1	PBB	286618.26	224578.36	128612.97	2179.85	6703	12158.48	38571.67	1971.74	6142.02	3195.98
Pan paniscus	1	GWU	325918.11	257896.8	158461.1	2387.77	8186.92	13986.56	45665.06	2090.34	4770.64	1508.71
Pan troglodytes troglodytes	2	PBB	320578.92	253708.88	153386.69	2692.9	7106.19	12877.36	44830.51	2082.1	4591.31	2488.75
Pan troglodytes troglodytes	2	GWU	378562.79	298489.3	179591.89	2392.97	10647.51	16868.7	50909.77	2456.84	5832.13	4006.05
Pongo pygmaeus	2	GWU	323450.54	263834.03	164492.87	1628.69	7347.14	12184.13	37797.51	1994.97	4723.1	2916.8
