",""MSW3sp"",""Site"",""Plot"",""PD"",""DR"",""HR"",""ov"",""GS"",""FS"",""miner"",""Status"",""mass"",""rain"",""multi1"",""multi2"""
"1,""Allocebus trichotis"",""Analamazaotra Special reserve, nr Andasibe village"",NA,18,NA,16,30,4,NA,""fiona"",""A"",78.09,1700,FALSE,TRUE"
"2,""Allocebus trichotis"",""Analamazaotra Special reserve, nr Andasibe village"",NA,18,NA,35.5,15,11,NA,""fiona"",""A"",78.09,1700,FALSE,TRUE"
"3,""Alouatta caraya"",""El Pi¤alito Provincial Park"",NA,112.514285714286,0.3995,17.32,37.92,6,30.3333333333333,""fiona"",""A"",5576.96,1952,TRUE,TRUE"
"4,""Alouatta caraya"",""El Pi¤alito Provincial Park"",NA,112.514285714286,0.3995,111.91,5.87,13,30.3333333333333,""fiona"",""A"",5576.96,1952,TRUE,TRUE"
"5,""Alouatta guariba"",""El Pi¤alito Provincial Park"",NA,34.3978823529412,0.558,31.22,0,4,18.8785714285714,""fiona"",""A"",5188.33,1952,TRUE,TRUE"
"6,""Alouatta guariba"",""El Pi¤alito Provincial Park"",NA,34.3978823529412,0.558,70.32,0,8,18.8785714285714,""fiona"",""A"",5188.33,1952,TRUE,TRUE"
"7,""Alouatta guariba"",""Santa Genebra (SP)"",""(Santa Genebra)"",148,0.467,4.13,33.3,6,10,""nick"",""A"",5188.33,1360,TRUE,TRUE"
"8,""Alouatta palliata"",""Barqueta"",""Hacienda Barqueta"",1040,0.272,4.85,94,18.9,35.452,""nick"",""A"",6576.99,2469,TRUE,TRUE"
"9,""Alouatta palliata"",""Barro Colorado"",NA,70.8623953488372,0.287947368421053,31,100,15.0332692307692,35.452,""fiona"",""A"",6576.99,2623,TRUE,TRUE"
"10,""Alouatta palliata"",""Barro Colorado Island"",""(BCI)"",100.9,0.284,11.3,62.5,14.7,44.32,""nick"",""A"",6576.99,2728,TRUE,TRUE"
"11,""Alouatta palliata"",""Barro Colorado Island"",""(BCI)"",50.5116666666667,0.2,18.5,0,16.5,44.32,""nick"",""A"",6576.99,2728,TRUE,TRUE"
"12,""Alouatta palliata"",""Barro Colorado Island"",""year 1971"",1029,0.295888888888889,4.9,94,16.7286666666667,44.9428571428571,""fiona"",""A"",6576.99,2728,TRUE,TRUE"
"13,""Alouatta pigra"",""Barro Colorado Island"",""year 1932"",49.4,0.472666666666667,86,5,17.3,36.7877777777778,""fiona"",""A"",7172.06,2728,TRUE,TRUE"
"14,""Alouatta pigra"",""Palenque National Park"",NA,23,0.472666666666667,5.3875,0,6,36.7877777777778,""fiona"",""A"",7172.06,2696,TRUE,TRUE"
"15,""Alouatta pigra"",""Palenque National Park"",NA,23,0.472666666666667,5.3875,0,6,36.7877777777778,""fiona"",""A"",7172.06,2696,TRUE,TRUE"
"16,""Alouatta seniculus"",""Hato Masaguaral"",""(Hato Masaguaral)"",128.948275862069,0.379,5.55,52.8,8.17034482758621,47.5333333333333,""nick"",""A"",6398.31,1450,TRUE,TRUE"
"17,""Alouatta seniculus"",""Ot£n Quimbaya"",NA,72.6,0.63875,10.2,20.9,8,47.5333333333333,""fiona"",""A"",6398.31,2712,TRUE,TRUE"
"18,""Ateles belzebuth"",""La Macarena"",""Laguna el Tigre"",13.5,4,323,25,23.5,83,""nick"",""A"",6692.42,2674,TRUE,TRUE"
"19,""Ateles belzebuth"",""Yasuni National Park"",""Proyecto Primates Research Area"",7.575,2.7125,149.4,80,1,83,""fiona"",""A"",6692.42,3200,TRUE,TRUE"
"20,""Ateles belzebuth"",""Yasuni National Park"",""Proyecto Primates Research Area"",7.575,2.7125,152.3,85,1,83,""fiona"",""A"",6692.42,3200,TRUE,TRUE"
"21,""Ateles chamek"",""Manu"",""Cocha Cashu"",24.9475,2.1885,153,16,40,77.5,""nick"",""A"",7053.92,2080,TRUE,TRUE"
"22,""Ateles chamek"",""Manu"",""Cocha Cashu"",24.9475,2.1885,231,10,37,77.5,""nick"",""A"",7053.92,2080,TRUE,TRUE"
"23,""Ateles paniscus"",""Central Suriname Nature Preserve"",""beneath Volzberg dome"",8.2,2.7,255,0,18,82.9,""nick"",""A"",8697.25,2300,TRUE,TRUE"
"24,""Brachyteles hypoxanthus"",""Fazenda Montes Claros (MG)"",""Estacao Biologica de Caratinga"",5.2,1.283,168,46,35.4230769230769,28,""nick"",""A"",10537.31,1120,TRUE,TRUE"
"25,""Brachyteles hypoxanthus"",""Fazenda Montes Claros (MG)"",""Estacao Biologica de Caratinga"",5.2,1.313,309,41,62.5,28,""nick"",""A"",10537.31,1120,TRUE,TRUE"
"26,""Bunopithecus hoolock"",""Hollongapar (Assam)"",""(Hollongapar)"",20,1.04133333333333,22,23,3.43,67,""nick"",""A"",6699,3890,TRUE,TRUE"
"27,""Bunopithecus hoolock"",""West Bhanugach"",""Lawachara"",9.34,1.157,35,9,3,82.2,""nick"",""A"",6699,2000,TRUE,TRUE"
"28,""Bunopithecus hoolock"",""West Bhanugach"",""Lawachara"",9.34,1.367,66.5,21.4,2.85714285714286,82.2,""nick"",""A"",6699,2000,TRUE,TRUE"
"29,""Callicebus melanochir"",""Lemos Maia (Bahia)"",""ESMAI"",17,1.01,23.3,12.9,3,76.6,""nick"",""A"",1034.31076923077,2037,TRUE,TRUE"
"30,""Callicebus melanochir"",""Lemos Maia (Bahia)"",""ESMAI"",17,1.01,24.3,12.3,3,76.6,""nick"",""A"",1034.31076923077,2037,TRUE,TRUE"
"31,""Callicebus ornatus"",""Barbascal"",""Socay forest"",407,0.5675,0.4352,6,3.11,NA,""nick"",""A"",1034.31076923077,2650,TRUE,TRUE"
"32,""Callicebus ornatus"",""Finca la Macarena"",""(Finca La Macarena)"",57,0.5675,3.66,1.55,3,NA,""nick"",""A"",1034.31076923077,NA,FALSE,FALSE"
