Species Name	Species name adjusted to 10kTrees	Species name in Perelman tree 	Subfamily	Family	Terrestriality	logECV	logBodyMass	logInsects	logFruit	logLeaves	logCombiGroupSize	logHRS	Diurnality	ECV	N ECV	Sex ECV	Source ECV	Body mass	N Body mass	Sex Body mass	Source Body mass	Original source Body mass	%animal prey	%fruit	% seeds	%fruit and seeds	%nectar	%flowers	%nectar and flowers	% reproductive plant parts (fruits, flowers and nectar)	%gum	%leaves	%young leaves	%mature leaves	%nonreproctive plant parts (gum and leaves, bark etc.)	%other	sum	Calculation	Source diet composition	Sleeping group size	Remarks Sleeping group size	Foraging Group size: mean	Group size: range	Group size combined	Source group size	Day range (m)	male Home range (HR) size: mean (ha)	female Home range size: mean	HR size average	HR range	Source Home range size							
Allenopithecus_nigroviridis	Allenopithecus_nigroviridis	Allenopithecus_nigroviridis	Cercopithecinae	Cercopithecidae	1	1.729950392	3.50242712	0.954242509	1.781755375	0.397940009	1.544068044		1	53.70	7	fem	Isler et al. 2008	3180	1	fem	Isler et al. 2008	Smith&Jungers 1997	9.0	60.5		60.5		10.0	10.0	70.5	6.7	2.5			2.5	11.3	100.0	average	Enstam and Isbell 07 review			35	23 to 57	35	Gautier-Hion 1999 book													
Allocebus_trichotis	Allocebus_trichotis	Allocebus_trichotis		Cheirogaleidae	0			1.612783857	0.84509804		0.477121255	1.017033339	0										41.0	7.0		7.0		7.0	7.0	14.0	45.0	0.0				0.0	100.0	single study	Biebouw 2009 (ATWP)	3	2 to 6	1	1 to 6	3	Biebouw 2009, Garbut 2001, Meier and Albignac 1991 (ATWP)				10.4	2 to 7.5, 5.4-15.4 HMW vol. 3	Biebouw 2009 (95% Kernel, ATWP)							
Alouatta_arctoidea	Alouatta_arctoidea	Alouatta_arctoidea	Alouattinae	Atelidae	0						0.916585533	0.876217841	1																												Crocket reports groups with a mean of 5.90 to 10.50 depending on habitat (5.9 gallery or 10.5 scrub woodland)	8.2525	5.9 to 10.50	8.2525	Crockett 1984, 1985, ATWP				7.52	7.52 to 30	Crockett 1984							
Alouatta_belzebul	Alouatta_belzebul	Alouatta_belzebul	Alouattinae	Atelidae	0	1.707083299	3.742332282		1.758154622	1.36398783	0.748188027	1.139879086	1	50.94	14	fem	van Woerden compilation	5525	26	fem	Isler et al. 2008	Ford and Davis 1992 in Smith and Jungers 1997	0	57.3		57.3		16.65	16.65	74.0		23.12	11.865	6.955	23.1	2.9	100.0	average	Di Fiore and Campbell 07, other includes seeds (Bonvicino 1989 and Jardim 1997 from ATWP)			5.6	5 to 14	5.6	Di Fiore and Campbell 07 (Bonvicino 1989, Emmons&Feer 1997, Pinto et al. 2003, ATWP)	1020.475			13.8	4.7 to 63.2	Di Fiore and Campbell 07 (Bonvicino 1989, Jardim 1997, Pina 1989, Pinto et al. 2003, ATWP)							
Alouatta_caraya	Alouatta_caraya	Alouatta_caraya	Alouattinae	Atelidae	0	1.692223855	3.627365857		1.377184787	1.847778242	1.005180513	0.342422681	1	49.23	6	fem	van Woerden compilation	4240.0	5	fem	Isler et al. 2008 (matching)	matching ECV	0.0	23.8		23.8		4.9	4.9	28.7		70.4	25.0	30.0	70.4	0.9	100.0	average	Di Fiore and Campbell 07, (Bicca-Marques & Calegaro-Marques 1994, Bravo&Sallenave 2003, Prates, Bicca-Marques 2008, Zunino 1986, ATWP)			10.1	2 to 21	10.12	Di Fiore and Campbell 07	522.3333333			2.2	1.7 to 9.7	Di Fiore and Campbell 07 (Ludwig 2006, Bravo and Sallenave 2003, ATWP)							
Alouatta_discolor	Alouatta_discolor	Alouatta_discolor	Alouattinae	Atelidae	0				1.745074792	1.394451681	0.903089987	1.699837726	1										0.0	55.6		55.6		5.7	5.7	61.3		24.8	19.8	5.0	24.8	13.9	100.0	single study	Pinto 2002 (ATWP)			8.0	7 to 9	8	Pinto 2002 (ATWP)	761			50.1		Pinto 2002 (ATWP)							
Alouatta_guariba	Alouatta_guariba	Alouatta_guariba	Alouattinae	Atelidae	0	1.685781071	3.658011397		1.344883279	1.760171083	0.815134817	0.86923172	1	48.50	9	fem	van Woerden compilation	4550	3	fem	Isler et al. 2008	matching ECV	0	22.125		22.1		10.63333333	10.63333333	32.8		57.6	22.63333333	34.93333333	57.6	9.65	100.0	average	Di Fiore and Campbell 07, other includes seeds (Marques 2001, Martins 1997, ATWP)			6.533333333	2 to 11	6.533333333	Di Fiore and Campbell 07	689.6666667			7.4	4.1 and 7.9	Di Fiore and Campbell 07, (Bicca-Marques 2003, ATWP)							
Alouatta_juara	Alouatta_juara	Alouatta_juara	Alouattinae	Atelidae	0				1.517195898	1.575764981	0.77815125	2.260071388	1										0	32.9	13.85	46.8		2.4	2.4	49.2		37.7	36.15	1.5	37.7	13.2	100.0	average	Neves&Rylands 1991, Palacios&Rodriguez 2001, ATWP			6		6	Palacios&Rodriguez 2001	1150			182		checked ref, actually 182ha Palacios&Rodriguez 2001, ATWP							
Alouatta_macconnelli	Alouatta_macconnelli	Alouatta_macconnelli	Alouattinae	Atelidae	0	1.72966336			1.492294658	1.7930916	0.875061263	1.294613171	1	53.66	1	fem	van Woerden compilation						0	31.06666667		31.1		1.5	1.5	32.6		62.1	36.5	25.6	62.1	5.3	100.0	average	Feer 1999, Julliot&Sabatier 1993, Queiroz 1995, ATWP			7.5	6 to 15.58	7.5	Julliot&Sabatier 1993, Neville 1972, Nunes et al. 1988, Phillips&Abercrombie 2003, Queiroz 1995, ATWP	580			19.70666667	6.62 to 45	Julliot 1997, Neville 1972, Queiroz 1995, ATWP							
Alouatta_palliata	Alouatta_palliata	Alouatta_palliata	Alouattinae	Atelidae	0	1.68944861	3.728353782		1.519265315	1.750948968	1.173962835	1.492760389	1	48.92	30	fem	van Woerden compilation	5350.0	177	fem	Isler et al. 2008	Peres 1994 in Smith and Jungers 1997	0.0	33.1		33.1		9.771428571	9.771428571	42.8		56.35714286			56.4	0.816666667	100.0	average	Di Fiore and Campbell 07, other includes seeds, ATWP			14.9	2 to 45	14.92666667	Di Fiore and Campbell 07	426.5			31.1	9.9 to 108	Di Fiore and Campbell 07							
