"Species"	"Brain"	"Neocortex"	"Cerebellum"	"Body"	"Gestation"	"Weaning"	"Age_first_birth"	"Lifespan"	"Juvenile_period"	"Adult_lifespan"	"Ape"
"Alouatta_palliata"	43520	28575.9	4365.2	6576.99	185.42	495.6	1382.13	288	886.53	7377.87	"No"
"Alouatta_seniculus"	43189	29512.1	5069.9	6398.31	189.9	370.04	1671.7	300	1301.66	7453.3	"No"
"Aotus_trivirgatus"	15000	9204.5	1499.7	912.4	133.47	76.21	883.3	361.2	807.09	10103.2	"No"
"Ateles_geoffroyi"	100925	72610.6	10423.2	7582.4	226.37	816.35	2080.5	565.2	1264.15	15111	"No"
"Callicebus_moloch"	14924	9120.1	1352.1	958.13	164	58.85	1095	314.4	1036.15	8468	"No"
"Callimico_goeldii"	10520	6471.4	1238.8	558	153.99	66.53	491.83	266.4	425.3	7611.17	"No"
"Callithrix_jacchus"	7244	4375.2	756.8	290.21	144	60.24	555.1	273.6	494.86	7766.9	"No"
"Callithrix_pygmaea"	4305	2535.1	467.7	123.94	134.44	90.73	840.41	223.2	749.68	5948.59	"No"
"Cebus_albifrons"	66988	49431.1	7620.8	2509.68	158.29	270.32	1467.3	484.8	1196.98	13278.7	"No"
"Cebus_apella"	66475	44978	6501.3	2758.38	154.99	263.12	2058.6	552	1795.48	14731.4	"No"
"Cercopithecus_ascanius"	63767	42756.3	5649.4	3540.24	148.5	146.54	1825	374.4	1678.46	9563	"No"
"Cercopithecus_mitis"	70632	45919.8	6053.4	5041.29	138.39	688.08	2087.8	453.6	1399.72	11709.2	"No"
"Cheirogaleus_major"	6365	2937.7	946.2	446.02	70	47.14	365	160.8	317.86	4526	"No"
"Cheirogaleus_medius"	2960	1221.8	436.5	196.76	61.79	60.65	472.67	348	412.02	10112.33	"No"
"Daubentonia_madagascariensis"	42643	22130.9	6456.5	2731.37	166.48	197.7	1277.5	387.6	1079.8	10512	"No"
"Erythrocebus_patas"	96138	73620.7	8072.4	7966.3	167.2	211.79	1079.79	339.6	868	9249.71	"No"
"Eulemur_fulvus_fulvus"	22126	12218	3326.6	2376.99	120.83	134.64	970.9	426	836.26	11986.6	"No"
"Eulemur_mongoz"	22240	12060	2366	1771.13	129	151.13	916.15	434.4	765.02	12296.85	"No"
"Galago_senegalensis"	4044	1766.5	544.4	215.2	126.98	93.93	511	205.2	417.07	5730.5	"No"
"Galagoides_demidoff"	3207	1566.8	413	66.04	111	43.47	359.52	160.8	316.05	4531.48	"No"
"Gorilla_gorilla_gorilla"	422831	297851.6	62950.6	112588.99	257	920.35	3650	721.2	2729.65	18286.5	"Yes"
"Hylobates_lar"	93295	63095.7	12589.3	5578.61	212.91	725.86	3398.15	672	2672.29	17041.85	"Yes"
"Lagothrix_lagotricha"	95499	62950.6	11641.3	6263.69	223.99	312.66	2766.7	384	2454.04	8913.3	"No"
"Lemur_catta"	21000	11080	2679	2626.48	134.74	126.51	866.87	447.6	740.36	12747.63	"No"
"Lepilemur_mustelinus"	7180	3281	1164.1	669.03	133.45	76.21	677.07	144	600.86	3702.93	"No"
"Lophocebus_albigena"	112000	70794.6	10839.3	7418.71	182.64	211.71	1474.6	432	1262.89	11665.4	"No"
"Loris_tardigradus"	6265	3523.7	727.8	249.22	165.99	167.49	547.5	259.2	380.01	7336.5	"No"
"Macaca_mulatta"	80841	55335	7227.7	6455.19	166.07	304.16	1460	480	1155.84	13140	"No"
"Mandrillus_sphinx"	127610	99311.6	9057.3	16685.06	173.99	348.01	1460	480	1111.99	13140	"No"
"Microcebus_murinus"	1644	714.1	219.5	69	60.34	40.45	380.2	218.4	339.75	6262.8	"No"
"Miopithecus_talapoin"	37757	26668.6	3531.8	1248.86	164.38	178.98	1598.7	332.4	1419.72	8511.8	"No"
"Nasalis_larvatus"	92897	52360	9885.5	12265.65	165.04	211.75	1642.5	301.2	1430.75	7519	"No"
