TaxonName;TaxonGroup;HRoverlap;GS;Dindex;N;s;Mindex;nM;nF;SocialSystem;Activity;Substrate;Habitat;PropLeaves;M_Dispersal;F_Dispersal;ID.LSex;n.LSex;Dis.LSex
Alouatta belzebul;Atelidae;0.16;7.4;NA;1;0.1;NA;1.2;NA;sM-mF;Diurnal;Arboreal;Wooded;0.2097;Dispersal;Dispersal;Male;One;Dispersal
Alouatta caraya;Atelidae;0.209475;9.75;0.837815849;1;0.1;0.125401589;1.7;2.5;sM-mF;Diurnal;Arboreal;Wooded;0.71425;Dispersal;Dispersal;Male;One;Dispersal
Alouatta guariba;Atelidae;0.21;7.575;1.129094588;1;0.1;0.241678595;1.3;2.575;sM-mF;Diurnal;Arboreal;Wooded;0.621;Dispersal;Dispersal;Male;One;Dispersal
Alouatta palliata;Atelidae;0.846666667;18.3;0.983076343;1;0.1;0.219645249;3.7;7.466666667;mM-mF;Diurnal;Arboreal;Wooded;0.672;Dispersal;Dispersal;Male;Multiple;Dispersal
Alouatta pigra;Atelidae;0.131;8.5;1.42995424;1;0.1;0.3501317;1;2.5;sM-mF;Diurnal;Arboreal;Wooded;0.557266667;Dispersal;Dispersal;Male;One;Dispersal
Alouatta seniculus;Atelidae;0.5275;10.25;1.424790762;1;0.1;0.535981179;1.65;2.68;sM-mF;Diurnal;Arboreal;Wooded;0.511666667;Dispersal;Philopatry;Male;One;Dispersal
Aotus vociferans;Cebidae;0;5;2.277374118;1;0.1;0.80409812;1;1;sM-sF;Nocturnal/Cathemeral;Arboreal;Wooded;0;Dispersal;Dispersal;NA;NA;NA
Ateles belzebuth;Atelidae;0.25;19.5;1.107783657;2;0.1;0.109083078;4;11.5;mM-mF;Diurnal;Arboreal;Wooded;0.076666667;Philopatry;Dispersal;Male;Multiple;Philopatry
Ateles geoffroyi;Atelidae;0;28.5;1.785850107;2;0.1;0.277086065;4.5;10;mM-mF;Diurnal;Arboreal;Wooded;0.14005;Philopatry;Dispersal;Male;Multiple;Philopatry
Ateles paniscus;Atelidae;0.065;28.25;2.963986227;2;0.1;0.351408574;4;11.75;mM-mF;Diurnal;Arboreal;Wooded;0.079;Philopatry;Dispersal;Male;Multiple;Philopatry
Avahi laniger;Lemuriformes;0;2.5;3.275000165;1;0.1;1.689838727;1;1;sM-sF;Nocturnal/Cathemeral;Arboreal;Wooded;0.906;Dispersal;Dispersal;Female;One;Dispersal
Brachyteles arachnoides;Atelidae;0.46;26;0.877237031;2;0.1;0.119960219;6;8;mM-mF;Diurnal;Arboreal;Wooded;0.349333333;Philopatry;Dispersal;Male;Multiple;Philopatry
Bunopithecus hoolock;Hominoidea;0.09;3.5;1.797596296;1;0.1;0.26927937;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.27;Dispersal;Dispersal;Female;One;Dispersal
Callicebus moloch;Pitheciidae;0.08;4;2.09929979;1;0.1;0.972475929;1;1;sM-sF;Diurnal;Arboreal;Wooded;NA;Dispersal;Dispersal;Male;One;Dispersal
Callicebus ornatus;Pitheciidae;0.06;3.2;2.408205024;1;0.1;1.017447621;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.076;Dispersal;Dispersal;Male;One;Dispersal
Callicebus personatus;Pitheciidae;0.5;4.5;2.614385966;1;0.1;0.683228107;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.1813;Dispersal;Dispersal;Female;One;Dispersal
Callicebus torquatus;Pitheciidae;0.1;3;1.355457936;1;0.1;0.268606172;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.04;Dispersal;Dispersal;Male;One;Dispersal
Callimico goeldii;Pitheciidae;0;4;0.767775497;1;0.1;0.063727483;2;1;mM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;One;Dispersal
Callithrix argentata;Cebidae;0.242;6;2.345561425;1;0.1;0.527990249;1;3;sM-mF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;Multiple;Dispersal
Callithrix aurita;Cebidae;0.15;7.5;1.430163248;1;0.1;0.213325711;1.5;2.5;sM-mF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Male;One;Dispersal
Callithrix geoffroyi;Cebidae;0;5;2.019573509;1;0.1;0.370788833;2;1;mM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;One;Dispersal
Callithrix humeralifera;Cebidae;0.225;11.75;2.736583134;1;0.1;0.516474983;3.25;3.75;mM-mF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Male;Multiple;Dispersal
Callithrix jacchus;Cebidae;0.4835;10;2.934763271;1;0.1;1.403313312;2.915;2.5;mM-mF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;Multiple;Dispersal
Callithrix kuhli;Cebidae;0.5;5.8;2.782878139;1;0.1;0.779900376;1.835;1;sM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;NA;NA;NA
Callithrix penicillata;Cebidae;0.5;6.6;2.802495608;1;0.1;0.785398163;NA;1;mM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Male;Multiple;Dispersal
Callithrix pygmaea;Cebidae;0;5.5;4.692262622;1;0.1;7.592182246;1.5;1.5;sM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;One;Dispersal
Cebus albifrons;Cebidae;1;14.5;1.316954283;1;0.1;0.095294977;2.5;4.5;mM-mF;Diurnal;Arboreal;Wooded;0.014;Dispersal;Philopatry;Male;One;Dispersal
Cebus apella;Cebidae;0.755;12.3;1.759658646;1;0.1;0.130408335;3;4.225;mM-mF;Diurnal;Arboreal;Wooded;0.316;Dispersal;Philopatry;Male;Multiple;Dispersal
Cebus capucinus;Cebidae;0.89;15.67;3.117744712;1;0.1;0.256540831;2.833;6.167;mM-mF;Diurnal;Arboreal;Wooded;0.005;Dispersal;Philopatry;Male;Multiple;Dispersal
Cebus olivaceus;Cebidae;1;20;1.183572992;1;0.1;0.065429473;1.4;6.1;sM-mF;Diurnal;Arboreal;Wooded;0.06;Dispersal;Philopatry;Male;One;Dispersal
Cercocebus galeritus;Papionini;0.8265;23.585;1.572045063;1;0.1;0.203542514;2.335;8.165;mM-mF;Diurnal;Terrestrial;Wooded;0.020833333;Dispersal;Philopatry;Male;Multiple;Dispersal
Cercopithecus ascanius;Cercopithecini;0.22;10.88;2.010588365;1;0.1;0.292932288;1;7.25;sM-mF;Diurnal;Arboreal;Wooded;0.072;Dispersal;Philopatry;Male;One;Dispersal
Cercopithecus campbelli;Cercopithecini;0.55;9.3;1.32699242;1;0.1;0.152459643;1;5.333333;sM-mF;Diurnal;Arboreal;Wooded;0.08;Dispersal;Philopatry;NA;NA;NA
Cercopithecus cephus;Cercopithecini;0.075;6;1.263221913;1;0.1;0.1994662;1;2;sM-mF;Diurnal;Arboreal;Wooded;0.155;Dispersal;Philopatry;Male;One;Dispersal
Cercopithecus diana;Cercopithecini;0.66;23.5;1.424959277;1;0.1;0.164546916;1;11.66667;sM-mF;Diurnal;Arboreal;Wooded;0.16;Dispersal;Philopatry;NA;NA;NA
