;;PGS;FGS;PD (/km z);DR,, (km);BW (kg);SS;Ref
Lemuridae;Lemur catta;18;18;233;0.95;2.5;M F;1
Lemuridae;Lemurfulvus;9.5;9.5;1125;0.14;1.9;MF;1
Lemuridae;Lemur mongoz;2.6;2.6;350;0.61;1.8;SF;1
Indriidae;Indri indri;3;3;12.5;0.25;10.5;SF;1
Indriidae;Propithecus verreauxi;6.5;6.5;103;0.85;3.5;M F;1
Callitrichidae;Saguinus oedipus;7.4;7.4;31.5;2.06;0.5;SF;2
Callitrichidae;Saguinus fuscicollis;4.7;4.7;15;1.37;0.4;SF;2
Callitrichidae;Saguinusfuscicollis;6.5;6.5;16;1.22;0.4;SF;2
Callitrichidae;Saguinus imperator;4;4;4.5;1.42;0.5;SF;2, 3
Cebidae (Pitheciinae);Callicebus moloch;3.2;3.2;400;0.57;1.1;SF;4
Cebidae (Pitheciinae);Callicebus moloch;4.2;4.2;20;0.67;1.1;SF;4
Cebidae (Pitheciinae);Callicebus torquatus;3.9;3.9;20;0.82;1.1;SF;4
Cebidae (Pitheciinae);Chiropotes albinasus;25;25;7.5;3.75;2.5;M F;4
Cebidae (Pitheeiinae);Chiropotes satanas;19;19;7.5;2.5;2.7;M F;4
Cebidae (Alouattinae);Alouatta palliata;9.1;9.1;23;0.12;5.7;M F;5
Cebidae (Alouattinae);Alouatta palliata;12.2;12.2;90;0.6;5.7;M F;5
Cebidae (Alouattinae);Alouatta palliata;15.5;15.5;53;0.44;5.7;M F;5
Cebidae (Alouattinae);Alouatta seniculus;9.5;9.5;101;0.39;6.4;MF;5
Cebidae (Alouattinae);Alouatta seniculus;7.1;7.1;44.5;0.54;6.4;M F;5
Cebidae (Alouattinae);Alouatta seniculus;9;9;15;0.71;6.4;M F;5
Cebidae (Cebinae);Saimiri oerstedii;23;23;130;3.35;0.6;M F;6
Cebidae (Cebinae);Saimiri sciureus;42;42;175;1.5;0.6;M F;6
Cebidae (Cebinae);Cebus albifrons;15;15;24;1.85;2.6;M F;3, 6
Cebidae (Cebinae);Cebus capucinus;17.5;17.5;6;2;2.7;MF;6
Cebidae (Cebinae);Cebus olivaceus;20;20;25;2.3;2.3;MF;6, 7
Cebidae (Cebinae);Cebus apella;10;10;40;2;2.1;MF;6
Cebidae (Atelinae);Ateles paniscus;18;3;8;2.7;5.8;F - F;6
Cebidae (Atelinae);Ateles belzebuth;18;3;16.5;2.3;5.8;F - F;6
